Tarih,TP_SEKBILB14A_J
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,56.2
2010-01-01,55.7
2011-01-01,49.8
2012-01-01,51.9
2013-01-01,39.0
2014-01-01,35.4
2015-01-01,33.5
2016-01-01,41.4
2017-01-01,45.0
2018-01-01,36.5
2019-01-01,37.0
2020-01-01,35.1
2021-01-01,33.3
2022-01-01,32.2
2023-01-01,31.2
