Tarih,TP_SEKBILB14A_A
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,46.3
2010-01-01,47.2
2011-01-01,44.7
2012-01-01,47.5
2013-01-01,47.9
2014-01-01,47.6
2015-01-01,51.5
2016-01-01,48.1
2017-01-01,48.6
2018-01-01,45.6
2019-01-01,44.4
2020-01-01,45.4
2021-01-01,44.0
2022-01-01,41.0
2023-01-01,38.0
