Tarih,TP_KB_FTR19
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,261501.0
2006-01-01,180434.0
2006-02-01,212464.0
2006-03-01,207138.0
2006-04-01,287092.0
2006-05-01,304380.0
2006-06-01,442696.0
2006-07-01,362831.0
2006-08-01,309452.0
2006-09-01,387107.0
2006-10-01,350380.0
2006-11-01,326473.0
2006-12-01,251715.0
2007-01-01,93005.0
2007-02-01,78198.0
2007-03-01,71856.0
2007-04-01,75161.0
2007-05-01,79369.0
2007-06-01,265447.0
2007-07-01,237506.0
2007-08-01,302821.0
2007-09-01,129751.0
2007-10-01,105679.0
2007-11-01,116220.0
2007-12-01,167565.0
2008-01-01,138030.0
2008-02-01,154564.0
2008-03-01,119025.0
2008-04-01,87500.0
2008-05-01,80341.0
2008-06-01,80845.0
2008-07-01,72841.0
2008-08-01,132534.0
2008-09-01,135728.0
2008-10-01,283984.0
2008-11-01,308575.0
2008-12-01,93971.0
2009-01-01,74729.0
2009-02-01,70605.0
2009-03-01,141495.0
2009-04-01,117658.0
2009-05-01,127368.0
2009-06-01,131622.0
2009-07-01,109441.0
2009-08-01,113999.0
2009-09-01,102700.0
2009-10-01,110505.0
2009-11-01,111210.0
2009-12-01,104567.0
2010-01-01,104480.0
2010-02-01,218417.0
2010-03-01,235081.0
2010-04-01,279614.0
2010-05-01,295177.0
2010-06-01,286601.0
2010-07-01,228447.0
2010-08-01,265188.0
2010-09-01,224556.0
2010-10-01,228186.0
2010-11-01,258589.0
2010-12-01,337871.0
2011-01-01,421135.0
2011-02-01,395381.0
2011-03-01,373943.0
2011-04-01,389196.0
2011-05-01,532167.0
2011-06-01,517935.0
2011-07-01,478935.0
2011-08-01,444305.0
2011-09-01,394786.0
2011-10-01,290429.0
2011-11-01,281597.0
2011-12-01,399029.0
2012-01-01,408980.0
2012-02-01,453075.0
2012-03-01,439083.0
2012-04-01,420369.0
2012-05-01,377578.0
2012-06-01,434161.0
2012-07-01,413001.0
2012-08-01,433989.0
2012-09-01,621915.0
2012-10-01,726875.0
2012-11-01,905119.0
2012-12-01,977794.0
2013-01-01,994834.0
2013-02-01,1009858.0
2013-03-01,1197380.0
2013-04-01,1566781.0
2013-05-01,1633712.0
2013-06-01,1378693.0
2013-07-01,1320030.0
2013-08-01,1373311.0
2013-09-01,1856944.0
2013-10-01,1907353.0
2013-11-01,1571997.0
2013-12-01,1617485.0
2014-01-01,1599296.0
2014-02-01,1815614.0
2014-03-01,1799576.0
