Tarih,TP_KB_FTR10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,57138.0
2006-01-01,75173.0
2006-02-01,106469.0
2006-03-01,62528.0
2006-04-01,56476.0
2006-05-01,55851.0
2006-06-01,54913.0
2006-07-01,65111.0
2006-08-01,45153.0
2006-09-01,43905.0
2006-10-01,42875.0
2006-11-01,43729.0
2006-12-01,30056.0
2007-01-01,121168.0
2007-02-01,180774.0
2007-03-01,28542.0
2007-04-01,187961.0
2007-05-01,111570.0
2007-06-01,22225.0
2007-07-01,223789.0
2007-08-01,107090.0
2007-09-01,16152.0
2007-10-01,113967.0
2007-11-01,119944.0
2007-12-01,107236.0
2008-01-01,131399.0
2008-02-01,122507.0
2008-03-01,136833.0
2008-04-01,242305.0
2008-05-01,21293.0
2008-06-01,231829.0
2008-07-01,288796.0
2008-08-01,19602.0
2008-09-01,124651.0
2008-10-01,145653.0
2008-11-01,43804.0
2008-12-01,120248.0
2009-01-01,64895.0
2009-02-01,103376.0
2009-03-01,115501.0
2009-04-01,112029.0
2009-05-01,29601.0
2009-06-01,109719.0
2009-07-01,206285.0
2009-08-01,103445.0
2009-09-01,199506.0
2009-10-01,38760.0
2009-11-01,100644.0
2009-12-01,42494.0
2010-01-01,47280.0
2010-02-01,119467.0
2010-03-01,137127.0
2010-04-01,126878.0
2010-05-01,119911.0
2010-06-01,226210.0
2010-07-01,184906.0
2010-08-01,119286.0
2010-09-01,122369.0
2010-10-01,183234.0
2010-11-01,141922.0
2010-12-01,122937.0
2011-01-01,180123.0
2011-02-01,263741.0
2011-03-01,141527.0
2011-04-01,48079.0
2011-05-01,146441.0
2011-06-01,174250.0
2011-07-01,99068.0
2011-08-01,185456.0
2011-09-01,157160.0
2011-10-01,144688.0
2011-11-01,292683.0
2011-12-01,59132.0
2012-01-01,209663.0
2012-02-01,308441.0
2012-03-01,81470.0
2012-04-01,328925.0
2012-05-01,172245.0
2012-06-01,67428.0
2012-07-01,410579.0
2012-08-01,167952.0
2012-09-01,97039.0
2012-10-01,385556.0
2012-11-01,199476.0
2012-12-01,215519.0
2013-01-01,284720.0
2013-02-01,444447.0
2013-03-01,169138.0
2013-04-01,309946.0
2013-05-01,275870.0
2013-06-01,159843.0
2013-07-01,616372.0
2013-08-01,128757.0
2013-09-01,438211.0
2013-10-01,250181.0
2013-11-01,96809.0
2013-12-01,195511.0
2014-01-01,265905.0
2014-02-01,213408.0
2014-03-01,257142.0
2014-04-01,471961.0
2014-05-01,111758.0
