Tarih,TP_KB_FTR01
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,3452599.0
2006-01-01,3492417.0
2006-02-01,3611901.0
2006-03-01,3879873.0
2006-04-01,4045238.0
2006-05-01,4519970.0
2006-06-01,4543531.0
2006-07-01,4283571.0
2006-08-01,4209964.0
2006-09-01,4341025.0
2006-10-01,4149240.0
2006-11-01,4186490.0
2006-12-01,4080515.0
2007-01-01,4025763.0
2007-02-01,4052569.0
2007-03-01,4239899.0
2007-04-01,4216382.0
2007-05-01,4382359.0
2007-06-01,4545147.0
2007-07-01,4641472.0
2007-08-01,5133812.0
2007-09-01,5206711.0
2007-10-01,5359633.0
2007-11-01,5652428.0
2007-12-01,5870589.0
2008-01-01,6153597.0
2008-02-01,6469385.0
2008-03-01,6936362.0
2008-04-01,7065817.0
2008-05-01,6989527.0
2008-06-01,6955009.0
2008-07-01,6856085.0
2008-08-01,6877106.0
2008-09-01,7323985.0
2008-10-01,8445581.0
2008-11-01,8642503.0
2008-12-01,8620209.0
2009-01-01,9178760.0
2009-02-01,9916792.0
2009-03-01,10335595.0
2009-04-01,10466874.0
2009-05-01,10515986.0
2009-06-01,10688561.0
2009-07-01,10884249.0
2009-08-01,11278646.0
2009-09-01,11627893.0
2009-10-01,12047399.0
2009-11-01,12405434.0
2009-12-01,12713267.0
2010-01-01,12967236.0
2010-02-01,13484649.0
2010-03-01,13665432.0
2010-04-01,13731560.0
2010-05-01,14276133.0
2010-06-01,14391455.0
2010-07-01,14383542.0
2010-08-01,14400124.0
2010-09-01,14428073.0
2010-10-01,14823025.0
2010-11-01,15185650.0
2010-12-01,16318812.0
2011-01-01,16936308.0
2011-02-01,17444445.0
2011-03-01,17285807.0
2011-04-01,17370698.0
2011-05-01,17818970.0
2011-06-01,18021241.0
2011-07-01,18011934.0
2011-08-01,17448914.0
2011-09-01,17206385.0
2011-10-01,17182388.0
2011-11-01,17634018.0
2011-12-01,17330465.0
2012-01-01,17340010.0
2012-02-01,17421681.0
2012-03-01,17483575.0
2012-04-01,17606820.0
2012-05-01,18099123.0
2012-06-01,18235422.0
2012-07-01,18467318.0
2012-08-01,18986215.0
2012-09-01,19729121.0
2012-10-01,20297987.0
2012-11-01,20537292.0
2012-12-01,20733770.0
2013-01-01,21016724.0
2013-02-01,21374553.0
2013-03-01,21763354.0
2013-04-01,21611471.0
2013-05-01,22827767.0
2013-06-01,23570361.0
2013-07-01,23699524.0
2013-08-01,24305202.0
2013-09-01,24399920.0
