Tarih,TP_KB_FTR13
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,3785701.0
2006-01-01,3611702.0
2006-02-01,3552552.0
2006-03-01,3553866.0
2006-04-01,3632548.0
2006-05-01,3788130.0
2006-06-01,3984166.0
2006-07-01,4097180.0
2006-08-01,4362571.0
2006-09-01,4517321.0
2006-10-01,5050720.0
2006-11-01,5197118.0
2006-12-01,5784710.0
2007-01-01,5778947.0
2007-02-01,6050465.0
2007-03-01,6196412.0
2007-04-01,6446421.0
2007-05-01,6571420.0
2007-06-01,6723227.0
2007-07-01,6857226.0
2007-08-01,6439543.0
2007-09-01,6516059.0
2007-10-01,6844470.0
2007-11-01,6827266.0
2007-12-01,6841652.0
2008-01-01,6726017.0
2008-02-01,6882668.0
2008-03-01,7446970.0
2008-04-01,7885670.0
2008-05-01,8015881.0
2008-06-01,8403544.0
2008-07-01,8432105.0
2008-08-01,8254927.0
2008-09-01,8143041.0
2008-10-01,7845530.0
2008-11-01,7664179.0
2008-12-01,7844357.0
2009-01-01,8138744.0
2009-02-01,8333557.0
2009-03-01,8322911.0
2009-04-01,8326449.0
2009-05-01,8587925.0
2009-06-01,8670175.0
2009-07-01,8848055.0
2009-08-01,9071210.0
2009-09-01,9224266.0
2009-10-01,9349597.0
2009-11-01,9293273.0
2009-12-01,9454361.0
2010-01-01,9467667.0
2010-02-01,9306775.0
2010-03-01,9186417.0
2010-04-01,9597219.0
2010-05-01,9169180.0
2010-06-01,9364835.0
2010-07-01,9714268.0
2010-08-01,10253854.0
2010-09-01,10401911.0
2010-10-01,10769624.0
2010-11-01,10622003.0
2010-12-01,10343301.0
2011-01-01,10157294.0
2011-02-01,10010631.0
2011-03-01,10228264.0
2011-04-01,10406267.0
2011-05-01,10078578.0
2011-06-01,9785891.0
2011-07-01,9944539.0
2011-08-01,10221528.0
2011-09-01,10386072.0
2011-10-01,10471199.0
2011-11-01,10734422.0
2011-12-01,11569802.0
2012-01-01,10928107.0
2012-02-01,11803913.0
2012-03-01,12495361.0
2012-04-01,12942034.0
2012-05-01,13952158.0
2012-06-01,14147876.0
2012-07-01,14279771.0
2012-08-01,14846820.0
2012-09-01,14665017.0
2012-10-01,15063311.0
2012-11-01,15318938.0
2012-12-01,15215227.0
2013-01-01,16129053.0
2013-02-01,16624329.0
2013-03-01,16582377.0
2013-04-01,16997527.0
2013-05-01,17166915.0
2013-06-01,16578564.0
2013-07-01,16946660.0
2013-08-01,18252661.0
2013-09-01,18359860.0
