Tarih,TP_SEKBILYPGN_78
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,164.0
2010-01-01,521.2
2011-01-01,1072.5
2012-01-01,705.1
2013-01-01,3616.4
2014-01-01,819.1
2015-01-01,2093.3
2016-01-01,2549.8
2017-01-01,2636.8
2018-01-01,6617.7
2019-01-01,3501.3
2020-01-01,4871.1
2021-01-01,77448.0
2022-01-01,86208.3
2023-01-01,27385.5
