Tarih,TP_SEKBILYPGN_G
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,11258931.3
2010-01-01,13829222.0
2011-01-01,15711200.1
2012-01-01,16247209.1
2013-01-01,23135183.3
2014-01-01,24179436.6
2015-01-01,27437419.5
2016-01-01,33115031.3
2017-01-01,44096788.3
2018-01-01,55581807.8
2019-01-01,56552178.0
2020-01-01,62110320.7
2021-01-01,121866018.7
2022-01-01,131834273.2
2023-01-01,212053401.6
