Tarih,TP_SEKBILYPGN_47
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,1248609.9
2010-01-01,1685276.5
2011-01-01,2097731.6
2012-01-01,1806030.6
2013-01-01,2891684.1
2014-01-01,2880704.7
2015-01-01,3588288.6
2016-01-01,4641925.4
2017-01-01,5644703.9
2018-01-01,6345065.4
2019-01-01,6818758.4
2020-01-01,8149446.7
2021-01-01,15109865.9
2022-01-01,17499197.8
2023-01-01,30692916.2
