Tarih,TP_TSANAYMT2021_Y19
2018-10-01,73.3607757263
2018-11-01,75.0360081314
2018-12-01,67.963732462
2019-01-01,64.7667495281
2019-02-01,68.8815738361
2019-03-01,76.6550893672
2019-04-01,74.1329147612
2019-05-01,71.7411541151
2019-06-01,68.0831964592
2019-07-01,73.9234451499
2019-08-01,71.7312631722
2019-09-01,74.4861129348
2019-10-01,73.5928786521
2019-11-01,73.1782996853
2019-12-01,76.4295146807
2020-01-01,77.9542678571
2020-02-01,79.0815204363
2020-03-01,81.1749218249
2020-04-01,57.9056432265
2020-05-01,63.724631313
2020-06-01,77.0891378466
2020-07-01,81.999981621
2020-08-01,85.5418970212
2020-09-01,89.2072605126
2020-10-01,91.5514378718
2020-11-01,93.6883705999
2020-12-01,93.4960967469
2021-01-01,94.4251028823
2021-02-01,95.2520979876
2021-03-01,92.8972883647
2021-04-01,95.8340063867
2021-05-01,99.3832909612
2021-06-01,97.4724640745
2021-07-01,101.0960365979
2021-08-01,103.1946186462
2021-09-01,101.4283045561
2021-10-01,105.8663133624
2021-11-01,106.0323093053
2021-12-01,107.1181668751
2022-01-01,104.4820841338
2022-02-01,105.0685468342
2022-03-01,100.5323526136
2022-04-01,105.1385779114
2022-05-01,115.9228842637
2022-06-01,111.8350598882
2022-07-01,109.9599230524
2022-08-01,106.1279654484
2022-09-01,99.9603019643
2022-10-01,99.5033340575
2022-11-01,99.2080266217
2022-12-01,102.3194776104
2023-01-01,114.4092244257
2023-02-01,103.3250940593
2023-03-01,114.2733784131
2023-04-01,110.5657546623
2023-05-01,107.566410886
2023-06-01,112.6466984787
2023-07-01,115.4934901564
2023-08-01,110.0143277098
2023-09-01,106.4272325563
2023-10-01,109.2869363099
2023-11-01,105.1355431994
2023-12-01,108.0911605259
2024-01-01,111.0562413479
2024-02-01,110.6600403043
2024-03-01,110.2369232873
2024-04-01,98.889845879
2024-05-01,100.4624538828
2024-06-01,88.7722644667
2024-07-01,95.435925215
2024-08-01,97.3981864994
2024-09-01,100.9822305215
2024-10-01,100.2027279705
2024-11-01,102.5615760439
2024-12-01,113.5016443365
2025-01-01,111.9475262705
2025-02-01,115.7873245404
2025-03-01,110.9741951488
2025-04-01,111.1284608615
2025-05-01,108.1356428922
2025-06-01,116.044768523
2025-07-01,106.4225082288
2025-08-01,106.5039515992
