Tarih,TP_TSANAYMT2021_Y2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,45.3586229873
2005-02-01,43.0670061265
2005-03-01,41.4012667926
2005-04-01,41.5684087117
2005-05-01,42.3275413021
2005-06-01,42.1718811623
2005-07-01,43.0511234684
2005-08-01,43.0048863375
2005-09-01,43.711409435
2005-10-01,44.0899908252
2005-11-01,44.9105510064
2005-12-01,44.3774593407
2006-01-01,46.3093883202
2006-02-01,46.1848993425
2006-03-01,46.7672911811
2006-04-01,46.7355954355
2006-05-01,46.7977396338
2006-06-01,47.2328178136
2006-07-01,47.7140957759
2006-08-01,48.0080343542
2006-09-01,46.9373725013
2006-10-01,47.562088205
2006-11-01,46.7821851967
2006-12-01,49.2868674727
2007-01-01,50.7069415006
2007-02-01,50.4280095654
2007-03-01,51.1475772959
2007-04-01,51.4789209568
2007-05-01,50.9499924767
2007-06-01,50.3180523726
2007-07-01,50.1574113705
2007-08-01,51.2234580976
2007-09-01,51.2399869438
2007-10-01,49.8487717474
2007-11-01,50.224744603
2007-12-01,51.6429901033
2008-01-01,50.5818448173
2008-02-01,50.6223813369
2008-03-01,51.4174063602
2008-04-01,50.3318526834
2008-05-01,50.4100628124
2008-06-01,50.8030100051
2008-07-01,50.3016993372
2008-08-01,50.5399418532
2008-09-01,48.5310690244
2008-10-01,46.1586478147
2008-11-01,43.9827684561
2008-12-01,42.8098842281
2009-01-01,40.8979180063
2009-02-01,42.0484841836
2009-03-01,40.8688342068
2009-04-01,41.2053964125
2009-05-01,42.2425660334
2009-06-01,44.0275122795
2009-07-01,44.8818564835
2009-08-01,45.2676696342
2009-09-01,45.4883220849
2009-10-01,46.8562433923
2009-11-01,48.6146631933
2009-12-01,46.3828435046
2010-01-01,46.6436295551
2010-02-01,48.148401832
2010-03-01,49.063756598
2010-04-01,49.8796837161
2010-05-01,51.0193834213
2010-06-01,51.6772225112
2010-07-01,51.6195024362
2010-08-01,52.2971396315
2010-09-01,52.8262469959
2010-10-01,53.6877596377
2010-11-01,55.7017419967
2010-12-01,56.7499537673
2011-01-01,60.435125416
2011-02-01,58.4453469908
2011-03-01,57.5157126551
2011-04-01,57.3360350529
2011-05-01,58.9564932122
2011-06-01,58.7445522929
2011-07-01,60.3383775592
2011-08-01,62.2345131607
2011-09-01,60.0008468662
2011-10-01,61.9012097571
2011-11-01,61.495264961
2011-12-01,62.3005282555
2012-01-01,60.7845473008
2012-02-01,58.600429036
2012-03-01,60.5915677905
2012-04-01,63.283838584
2012-05-01,63.3185312137
2012-06-01,62.6385300292
2012-07-01,63.9952702552
2012-08-01,62.7559030377
2012-09-01,64.0983524524
2012-10-01,64.7104959113
