Tarih,TP_TSANAYMT2021_Y4
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,32.9756285553
2005-02-01,33.0786937258
2005-03-01,33.3571940843
2005-04-01,34.3492645842
2005-05-01,35.5194891392
2005-06-01,34.2201672865
2005-07-01,35.3173681963
2005-08-01,39.7298154471
2005-09-01,37.4677968597
2005-10-01,38.152696854
2005-11-01,37.6744302352
2005-12-01,37.2742511627
2006-01-01,36.6442004783
2006-02-01,37.0957977286
2006-03-01,39.0260231936
2006-04-01,38.0881760804
2006-05-01,39.6440186659
2006-06-01,39.5224938992
2006-07-01,40.719659085
2006-08-01,37.0991495894
2006-09-01,39.0459783865
2006-10-01,39.6128898842
2006-11-01,39.7464384776
2006-12-01,40.1304641077
2007-01-01,44.9049416127
2007-02-01,41.2758066718
2007-03-01,42.8021252287
2007-04-01,43.0361037331
2007-05-01,45.640901583
2007-06-01,43.7287516876
2007-07-01,43.1537857121
2007-08-01,42.8949940042
2007-09-01,45.8077523331
2007-10-01,46.3283906195
2007-11-01,46.7095446172
2007-12-01,49.0354968605
2008-01-01,48.0945324933
2008-02-01,50.0766731061
2008-03-01,50.0984642591
2008-04-01,52.3367515822
2008-05-01,49.076352938
2008-06-01,49.504674106
2008-07-01,46.7160117476
2008-08-01,41.2360698091
2008-09-01,44.1121547897
2008-10-01,39.7961182803
2008-11-01,34.8309907802
2008-12-01,33.5832459764
2009-01-01,25.4651614516
2009-02-01,28.1264292463
2009-03-01,28.5536088071
2009-04-01,30.1462926426
2009-05-01,33.5168179627
2009-06-01,32.9253829165
2009-07-01,34.7688386353
2009-08-01,33.6212187947
2009-09-01,35.4821492925
2009-10-01,34.4896166507
2009-11-01,36.7792607838
2009-12-01,34.0026821417
2010-01-01,36.2700101074
2010-02-01,36.5909221655
2010-03-01,39.4705087355
2010-04-01,37.7855722423
2010-05-01,40.3344359131
2010-06-01,39.5343217177
2010-07-01,39.8724496926
2010-08-01,42.1696793899
2010-09-01,42.133865984
2010-10-01,42.5940723165
2010-11-01,45.068205114
2010-12-01,46.7190456847
2011-01-01,47.5598480942
2011-02-01,48.3241734201
2011-03-01,47.8745381171
2011-04-01,47.8655783189
2011-05-01,49.1532859033
2011-06-01,51.7408347795
2011-07-01,51.7486689544
2011-08-01,54.492863603
2011-09-01,49.2533188558
2011-10-01,54.6584659202
2011-11-01,52.9732214331
2011-12-01,53.2105568465
2012-01-01,51.084106971
2012-02-01,49.6265457962
2012-03-01,51.2135466664
2012-04-01,52.9602750435
2012-05-01,53.3770811674
2012-06-01,51.556924874
2012-07-01,51.2888586619
2012-08-01,50.42236277
2012-09-01,53.0500718033
2012-10-01,53.2399486263
