Tarih,TP_REDKURIGM_K3
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,100.0
2004-01-01,98.55
2005-01-01,105.06
2006-01-01,103.04
2007-01-01,112.32
2008-01-01,116.82
2009-01-01,108.34
2010-01-01,116.67
2011-01-01,101.33
2012-01-01,111.74
2013-01-01,112.05
2014-01-01,105.67
2015-01-01,109.38
2016-01-01,113.99
2017-01-01,95.16
2018-01-01,79.68
2019-01-01,83.54
2020-01-01,68.6
2021-01-01,63.86
2022-01-01,65.05
2023-01-01,90.17
2024-01-01,118.08
