Tarih,TP_REDKURIGM_K2
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,100.0
2004-01-01,96.31
2005-01-01,92.27
2006-01-01,85.26
2007-01-01,87.05
2008-01-01,82.43
2009-01-01,75.67
2010-01-01,74.71
2011-01-01,63.39
2012-01-01,65.15
2013-01-01,64.71
2014-01-01,63.06
2015-01-01,62.55
2016-01-01,69.24
2017-01-01,56.01
2018-01-01,47.59
2019-01-01,46.99
2020-01-01,38.65
2021-01-01,35.16
2022-01-01,32.25
2023-01-01,46.36
2024-01-01,58.25
