Tarih,TP_REDKURIGM_K1
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,100.0
2004-01-01,97.93
2005-01-01,101.37
2006-01-01,97.42
2007-01-01,103.85
2008-01-01,104.6
2009-01-01,96.64
2010-01-01,100.72
2011-01-01,86.71
2012-01-01,92.98
2013-01-01,92.88
2014-01-01,88.75
2015-01-01,90.33
2016-01-01,96.4
2017-01-01,79.49
2018-01-01,66.95
2019-01-01,68.51
2020-01-01,56.3
2021-01-01,51.88
2022-01-01,50.5
2023-01-01,71.11
2024-01-01,91.47
