Tarih,TP_KB_GID102
2023-08-01,9275102.88
2023-09-01,19413241.45
2023-10-01,4907155.36
2023-11-01,6617958.56
2023-12-01,31169391.31
2024-01-01,9231266.03
2024-02-01,15662106.58
2024-03-01,8530876.11
2024-04-01,8266939.19
2024-05-01,11624081.26
2024-06-01,47241864.5
2024-07-01,11875228.14
2024-08-01,22212143.5
2024-09-01,17029067.87
2024-10-01,26257643.92
2024-11-01,15952386.48
2024-12-01,29328237.74
2025-01-01,19345047.97
2025-02-01,26851237.75
2025-03-01,14584354.82
2025-04-01,18801664.23
2025-05-01,26440504.42
2025-06-01,62522444.56
2025-07-01,22230070.42
2025-08-01,39402604.61
