Tarih,TP_KB_GID008
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,470848.0
2006-02-01,372700.0
2006-03-01,370734.0
2006-04-01,383276.0
2006-05-01,400798.0
2006-06-01,386320.0
2006-07-01,390908.0
2006-08-01,378412.0
2006-09-01,405149.0
2006-10-01,425407.0
2006-11-01,408483.0
2006-12-01,682061.0
2007-01-01,546960.0
2007-02-01,429219.0
2007-03-01,429403.0
2007-04-01,440374.0
2007-05-01,444687.0
2007-06-01,434824.0
2007-07-01,452585.0
2007-08-01,442918.0
2007-09-01,471709.0
2007-10-01,456905.0
2007-11-01,473217.0
2007-12-01,781734.0
2008-01-01,622053.0
2008-02-01,482950.0
2008-03-01,480375.0
2008-04-01,488486.0
2008-05-01,493819.0
2008-06-01,485143.0
2008-07-01,495521.0
2008-08-01,478843.0
2008-09-01,507224.0
2008-10-01,495624.0
2008-11-01,519132.0
2008-12-01,858370.0
2009-01-01,690614.0
2009-02-01,542152.0
2009-03-01,536656.0
2009-04-01,556771.0
2009-05-01,555951.0
2009-06-01,564296.0
2009-07-01,563028.0
2009-08-01,544947.0
2009-09-01,584995.0
2009-10-01,577424.0
2009-11-01,598088.0
2009-12-01,893361.0
2010-01-01,1037678.0
2010-02-01,855906.0
2010-03-01,860603.0
2010-04-01,859832.0
2010-05-01,870098.0
2010-06-01,877151.0
2010-07-01,883715.0
2010-08-01,864597.0
2010-09-01,908296.0
2010-10-01,940501.0
2010-11-01,962769.0
2010-12-01,1141369.0
2011-01-01,1316456.0
2011-02-01,1005579.0
2011-03-01,986782.0
2011-04-01,996838.0
2011-05-01,1005776.0
2011-06-01,1036567.0
2011-07-01,1024936.0
2011-08-01,1019980.0
2011-09-01,1049040.0
2011-10-01,1056697.0
2011-11-01,1077325.0
2011-12-01,1273788.0
2012-01-01,1494639.0
2012-02-01,1130596.0
2012-03-01,1112844.0
2012-04-01,1111737.0
2012-05-01,1112231.0
2012-06-01,1359691.0
2012-07-01,1191962.0
2012-08-01,1183870.0
2012-09-01,1202721.0
2012-10-01,1223590.0
2012-11-01,1215150.0
2012-12-01,1389177.0
2013-01-01,1696606.0
2013-02-01,1282121.0
2013-03-01,1255647.0
2013-04-01,1277616.0
2013-05-01,1278826.0
2013-06-01,1282255.0
2013-07-01,1319476.0
2013-08-01,1295011.0
2013-09-01,1349176.0
2013-10-01,1369842.0
2013-11-01,1362205.0
2013-12-01,1537680.0
2014-01-01,2000454.0
2014-02-01,1531904.0
