Tarih,TP_KB_GID048
2024-02-01,402574.42
2024-03-01,1524971.49
2024-04-01,350092.7
2024-05-01,364579.73
2024-06-01,394004.07
2024-07-01,1517742.8
2024-08-01,364689.1
2024-09-01,363159.82
2024-10-01,462929.8
2024-11-01,371137.05
2024-12-01,374895.25
2025-01-01,400514.26
2025-02-01,617138.39
2025-03-01,2754567.32
2025-04-01,477968.82
2025-05-01,470698.39
2025-06-01,317807.08
2025-07-01,2435588.45
2025-08-01,125918.28
