Tarih,TP_KB_GID110
2022-12-01,98949357.0
2023-01-01,9884356.49
2023-02-01,17931215.99
2023-03-01,21681603.1
2023-04-01,32242634.72
2023-05-01,26225787.86
2023-06-01,25688710.61
2023-07-01,28810713.44
2023-08-01,36761918.7
2023-09-01,37121765.72
2023-10-01,60138065.79
2023-11-01,66624018.5
2023-12-01,179885778.63
2024-01-01,18057209.65
2024-02-01,32738461.04
2024-03-01,44779890.9
2024-04-01,57753629.89
2024-05-01,61237479.59
2024-06-01,72943174.1
2024-07-01,85160143.45
2024-08-01,75926183.51
2024-09-01,84265305.31
2024-10-01,103889239.2
2024-11-01,88274541.84
2024-12-01,218074813.24
2025-01-01,28250382.45
2025-02-01,65296879.75
2025-03-01,79276031.18
2025-04-01,76940641.79
2025-05-01,98978747.44
2025-06-01,83618528.71
2025-07-01,116963328.07
2025-08-01,110500100.82
