Tarih,TP_KB_GID099
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,325394.0
2006-03-01,384909.0
2006-04-01,314068.0
2006-05-01,288852.0
2006-06-01,489048.0
2006-07-01,355770.0
2006-08-01,378166.0
2006-09-01,434470.0
2006-10-01,316836.0
2006-11-01,320455.0
2006-12-01,449065.0
2007-01-01,350476.0
2007-02-01,350826.0
2007-03-01,376587.0
2007-04-01,368497.0
2007-05-01,319977.0
2007-06-01,546747.0
2007-07-01,359464.0
2007-08-01,317767.0
2007-09-01,608961.0
2007-10-01,364796.0
2007-11-01,388629.0
2007-12-01,568583.0
2008-01-01,370250.0
2008-02-01,456751.0
2008-03-01,515058.0
2008-04-01,351334.0
2008-05-01,428314.0
2008-06-01,598031.0
2008-07-01,399986.0
2008-08-01,495435.0
2008-09-01,702632.0
2008-10-01,407761.0
2008-11-01,468451.0
2008-12-01,593486.0
2009-01-01,422398.0
2009-02-01,503590.0
2009-03-01,526434.0
2009-04-01,376752.0
2009-05-01,460879.0
2009-06-01,584588.0
2009-07-01,462620.0
2009-08-01,517881.0
2009-09-01,717484.0
2009-10-01,431207.0
2009-11-01,486869.0
2009-12-01,555931.0
2010-01-01,506877.0
2010-02-01,604308.0
2010-03-01,613103.0
2010-04-01,452103.0
2010-05-01,548725.0
2010-06-01,704830.0
2010-07-01,555144.0
2010-08-01,593714.0
2010-09-01,862668.0
2010-10-01,517577.0
2010-11-01,584243.0
2010-12-01,667117.0
2011-01-01,608253.0
2011-02-01,725169.0
2011-03-01,735724.0
2011-04-01,542523.0
2011-05-01,659699.0
2011-06-01,841807.0
2011-07-01,666173.0
2011-08-01,579435.0
2011-09-01,1033123.0
2011-10-01,620939.0
2011-11-01,701091.0
2011-12-01,800540.0
2012-01-01,707650.0
2012-02-01,870203.0
2012-03-01,882869.0
2012-04-01,651028.0
2012-05-01,743189.0
2012-06-01,1010169.0
2012-07-01,738378.0
2012-08-01,695322.0
2012-09-01,1003838.0
2012-10-01,709036.0
2012-11-01,841309.0
2012-12-01,960648.0
2013-01-01,823281.0
2013-02-01,1031568.0
2013-03-01,1059442.0
2013-04-01,781233.0
2013-05-01,890190.0
2013-06-01,1149197.0
2013-07-01,886054.0
2013-08-01,834386.0
2013-09-01,1039193.0
2013-10-01,850842.0
2013-11-01,938728.0
2013-12-01,1152779.0
2014-01-01,960518.0
2014-02-01,1228342.0
2014-03-01,1123914.0
2014-04-01,1130675.0
