Tarih,TP_KB_GID153
2022-10-01,48767570.0
2022-11-01,16305944.0
2022-12-01,12782083.0
2023-01-01,13523593.0
2023-02-01,12363682.14
2023-03-01,23188976.68
2023-04-01,15786347.04
2023-05-01,86734135.4
2023-06-01,13498956.8
2023-07-01,10385147.16
2023-08-01,58119610.81
2023-09-01,27180042.55
2023-10-01,18567680.81
2023-11-01,69205144.66
2023-12-01,25048728.99
2024-01-01,82500832.14
2024-02-01,20108349.38
2024-03-01,35715847.22
2024-04-01,84772069.53
2024-05-01,85806924.09
2024-06-01,87142437.93
2024-07-01,53598219.81
2024-08-01,67049265.44
2024-09-01,115284133.59
2024-10-01,95177924.53
2024-11-01,110241607.86
2024-12-01,60060218.73
2025-01-01,112939093.94
2025-02-01,111526359.22
2025-03-01,113691189.02
2025-04-01,211791403.33
2025-05-01,73894080.7
2025-06-01,242085408.45
2025-07-01,71974314.63
2025-08-01,143915796.5
