Tarih,TP_KB_FVD02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,998735.0
2006-01-01,847873.0
2006-02-01,851994.0
2006-03-01,940305.0
2006-04-01,952866.0
2006-05-01,1152508.0
2006-06-01,1092885.0
2006-07-01,1010507.0
2006-08-01,1013662.0
2006-09-01,1167572.0
2006-10-01,1082547.0
2006-11-01,1022105.0
2006-12-01,1075402.0
2007-01-01,996157.0
2007-02-01,1045679.0
2007-03-01,977105.0
2007-04-01,1129337.0
2007-05-01,1105470.0
2007-06-01,1149500.0
2007-07-01,1359725.0
2007-08-01,1260112.0
2007-09-01,1205521.0
2007-10-01,1289695.0
2007-11-01,1292357.0
2007-12-01,1516536.0
2008-01-01,1418096.0
2008-02-01,1387505.0
2008-03-01,1538178.0
2008-04-01,1579061.0
2008-05-01,1356946.0
2008-06-01,1547312.0
2008-07-01,1642952.0
2008-08-01,1483274.0
2008-09-01,1818460.0
2008-10-01,1807885.0
2008-11-01,1733073.0
2008-12-01,1902361.0
2009-01-01,1712891.0
2009-02-01,1866278.0
2009-03-01,1855255.0
2009-04-01,1795896.0
2009-05-01,1893304.0
2009-06-01,1900417.0
2009-07-01,2106514.0
2009-08-01,2087219.0
2009-09-01,2374242.0
2009-10-01,2383420.0
2009-11-01,2638773.0
2009-12-01,3077350.0
2010-01-01,2667563.0
2010-02-01,2819773.0
2010-03-01,2713651.0
2010-04-01,2643857.0
2010-05-01,2961016.0
2010-06-01,3133671.0
2010-07-01,3172415.0
2010-08-01,2973327.0
2010-09-01,3022271.0
2010-10-01,3499018.0
2010-11-01,3371303.0
2010-12-01,4164215.0
2011-01-01,3820289.0
2011-02-01,3859435.0
2011-03-01,3744744.0
2011-04-01,3969188.0
2011-05-01,4211951.0
2011-06-01,4319658.0
2011-07-01,4748954.0
2011-08-01,4799800.0
2011-09-01,4429430.0
2011-10-01,4355130.0
2011-11-01,4586498.0
2011-12-01,4886893.0
2012-01-01,4230215.0
2012-02-01,4226238.0
2012-03-01,4020700.0
2012-04-01,4112798.0
2012-05-01,4437443.0
2012-06-01,4598066.0
2012-07-01,4626659.0
2012-08-01,4470904.0
2012-09-01,4976702.0
2012-10-01,5114265.0
2012-11-01,4893229.0
2012-12-01,5201186.0
2013-01-01,5056186.0
2013-02-01,5258627.0
2013-03-01,5580212.0
2013-04-01,5349599.0
2013-05-01,6169361.0
2013-06-01,6868474.0
2013-07-01,7285794.0
2013-08-01,7431481.0
2013-09-01,7576409.0
