Tarih,TP_KB_FVD08
2022-09-01,60382374.0
2022-10-01,66382410.0
2022-11-01,63772245.0
2022-12-01,74718630.0
2023-01-01,70440971.0
2023-02-01,79761587.0
2023-03-01,79805363.0
2023-04-01,75470398.0
2023-05-01,75676573.0
2023-06-01,65826715.0
2023-07-01,64900650.0
2023-08-01,68478455.0
2023-09-01,73488428.0
2023-10-01,79327820.0
2023-11-01,83071531.0
2023-12-01,113632987.0
2024-01-01,102418136.0
2024-02-01,103749573.0
2024-03-01,85251146.0
2024-04-01,93485382.0
2024-05-01,98481432.0
2024-06-01,109268445.0
2024-07-01,130199855.0
2024-08-01,103712017.0
2024-09-01,137902426.0
2024-10-01,141650625.0
2024-11-01,149194645.0
2024-12-01,166355715.0
2025-01-01,132250139.0
2025-02-01,137109767.0
2025-03-01,144428978.0
2025-04-01,173584520.0
2025-05-01,167692552.0
2025-06-01,172289870.0
2025-07-01,186858676.0
2025-08-01,197506375.0
