Tarih,TP_KB_FVD04
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,487130.0
2006-01-01,346288.0
2006-02-01,341309.0
2006-03-01,400589.0
2006-04-01,438067.0
2006-05-01,491959.0
2006-06-01,472910.0
2006-07-01,436469.0
2006-08-01,460526.0
2006-09-01,564921.0
2006-10-01,502866.0
2006-11-01,470264.0
2006-12-01,578647.0
2007-01-01,478080.0
2007-02-01,456110.0
2007-03-01,499946.0
2007-04-01,520257.0
2007-05-01,532317.0
2007-06-01,596225.0
2007-07-01,635234.0
2007-08-01,583053.0
2007-09-01,615549.0
2007-10-01,615655.0
2007-11-01,622148.0
2007-12-01,775793.0
2008-01-01,699589.0
2008-02-01,658122.0
2008-03-01,717692.0
2008-04-01,709804.0
2008-05-01,698616.0
2008-06-01,703187.0
2008-07-01,768554.0
2008-08-01,838627.0
2008-09-01,978971.0
2008-10-01,846025.0
2008-11-01,908214.0
2008-12-01,1064558.0
2009-01-01,898326.0
2009-02-01,928765.0
2009-03-01,921667.0
2009-04-01,873141.0
2009-05-01,998804.0
2009-06-01,952509.0
2009-07-01,1063928.0
2009-08-01,1116860.0
2009-09-01,1242032.0
2009-10-01,1338200.0
2009-11-01,1442174.0
2009-12-01,1827724.0
2010-01-01,1481300.0
2010-02-01,1515010.0
2010-03-01,1407051.0
2010-04-01,1380445.0
2010-05-01,1539045.0
2010-06-01,1543240.0
2010-07-01,1637997.0
2010-08-01,1553986.0
2010-09-01,1570673.0
2010-10-01,1900999.0
2010-11-01,1755246.0
2010-12-01,2342785.0
2011-01-01,1946364.0
2011-02-01,1851805.0
2011-03-01,1908659.0
2011-04-01,2145368.0
2011-05-01,2171430.0
2011-06-01,2223966.0
2011-07-01,2617323.0
2011-08-01,2586136.0
2011-09-01,2312893.0
2011-10-01,2340887.0
2011-11-01,2285228.0
2011-12-01,2897493.0
2012-01-01,2217729.0
2012-02-01,2127379.0
2012-03-01,2242373.0
2012-04-01,2113902.0
2012-05-01,2410432.0
2012-06-01,2574807.0
2012-07-01,2287115.0
2012-08-01,2225892.0
2012-09-01,2669855.0
2012-10-01,2510566.0
2012-11-01,2472786.0
2012-12-01,2760057.0
2013-01-01,2597574.0
2013-02-01,2582533.0
2013-03-01,3194107.0
2013-04-01,2872383.0
2013-05-01,3357035.0
2013-06-01,3941856.0
2013-07-01,3813135.0
2013-08-01,4164460.0
2013-09-01,3977083.0
2013-10-01,3984335.0
2013-11-01,4460044.0
2013-12-01,4827218.0
