Tarih,TP_KB_FVD11
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,34811.0
2006-01-01,30014.0
2006-02-01,35313.0
2006-03-01,36680.0
2006-04-01,39485.0
2006-05-01,37096.0
2006-06-01,41898.0
2006-07-01,39208.0
2006-08-01,44044.0
2006-09-01,48363.0
2006-10-01,55881.0
2006-11-01,51332.0
2006-12-01,74059.0
2007-01-01,48125.0
2007-02-01,46721.0
2007-03-01,31480.0
2007-04-01,30721.0
2007-05-01,34111.0
2007-06-01,28954.0
2007-07-01,24045.0
2007-08-01,21182.0
2007-09-01,21446.0
2007-10-01,38556.0
2007-11-01,23064.0
2007-12-01,20851.0
2008-01-01,22597.0
2008-02-01,22962.0
2008-03-01,24652.0
2008-04-01,22469.0
2008-05-01,20734.0
2008-06-01,21326.0
2008-07-01,17752.0
2008-08-01,16505.0
2008-09-01,17347.0
2008-10-01,18714.0
2008-11-01,18141.0
2008-12-01,17298.0
2009-01-01,18955.0
2009-02-01,21292.0
2009-03-01,25005.0
2009-04-01,29281.0
2009-05-01,32113.0
2009-06-01,34304.0
2009-07-01,23129.0
2009-08-01,24033.0
2009-09-01,29173.0
2009-10-01,30186.0
2009-11-01,28634.0
2009-12-01,32717.0
2010-01-01,36435.0
2010-02-01,35250.0
2010-03-01,34289.0
2010-04-01,34196.0
2010-05-01,32541.0
2010-06-01,35131.0
2010-07-01,37188.0
2010-08-01,42524.0
2010-09-01,52946.0
2010-10-01,51856.0
2010-11-01,53446.0
2010-12-01,60386.0
2011-01-01,62436.0
2011-02-01,59767.0
2011-03-01,59782.0
2011-04-01,54582.0
2011-05-01,52893.0
2011-06-01,50799.0
2011-07-01,51930.0
2011-08-01,70069.0
2011-09-01,72905.0
2011-10-01,55858.0
2011-11-01,55741.0
2011-12-01,56003.0
2012-01-01,52853.0
2012-02-01,52220.0
2012-03-01,46817.0
2012-04-01,46416.0
2012-05-01,48826.0
2012-06-01,45036.0
2012-07-01,50776.0
2012-08-01,55254.0
2012-09-01,53254.0
2012-10-01,51131.0
2012-11-01,53339.0
2012-12-01,57400.0
2013-01-01,73613.0
2013-02-01,78846.0
2013-03-01,91532.0
2013-04-01,115140.0
2013-05-01,110380.0
2013-06-01,127092.0
2013-07-01,112071.0
2013-08-01,123146.0
2013-09-01,147277.0
2013-10-01,176034.0
2013-11-01,198174.0
2013-12-01,185014.0
2014-01-01,140219.0
2014-02-01,140529.0
2014-03-01,122191.0
2014-04-01,105250.0
2014-05-01,109074.0
