Tarih,TP_YIYDYSEKTOR_YY26
2000-01-01,
2001-01-01,85.0
2002-01-01,93.0
2003-01-01,93.0
2004-01-01,94.0
2005-01-01,94.0
2006-01-01,94.0
2007-01-01,96.0
2008-01-01,18.0
2009-01-01,134.0
2010-01-01,152.0
2011-01-01,43.0
2012-01-01,94.0
2013-01-01,457.0
2014-01-01,458.0
2015-01-01,176.0
2016-01-01,345.0
2017-01-01,470.0
2018-01-01,363.0
2019-01-01,305.0
2020-01-01,286.0
2021-01-01,285.0
2022-01-01,220.0
2023-01-01,245.0
2024-01-01,313.0
