Tarih,TP_PYASENS_K12
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,91.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,103.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,143.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,138.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,335.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,417.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,509.0
2008-01-01,529.0
2008-04-01,529.0
2008-07-01,397.0
2008-10-01,396.0
2009-01-01,452.0
2009-04-01,483.0
2009-07-01,461.0
2009-10-01,614.0
2010-01-01,415.0
2010-04-01,451.0
2010-07-01,658.0
2010-10-01,660.0
2011-01-01,601.0
2011-04-01,527.0
2011-07-01,392.0
2011-10-01,472.0
2012-01-01,499.0
2012-04-01,331.0
2012-07-01,178.0
2012-10-01,481.0
2013-01-01,226.0
2013-04-01,110.0
2013-07-01,127.0
2013-10-01,167.0
2014-01-01,214.0
2014-04-01,210.0
2014-07-01,230.0
2014-10-01,207.0
2015-01-01,189.0
2015-04-01,181.0
2015-07-01,160.0
2015-10-01,143.0
2016-01-01,136.0
2016-04-01,133.0
2016-07-01,145.0
2016-10-01,141.0
2017-01-01,188.0
2017-04-01,113.0
2017-07-01,123.0
2017-10-01,130.0
2018-01-01,105.0
2018-04-01,73.0
2018-07-01,177.0
2018-10-01,168.0
2019-01-01,240.0
2019-04-01,158.0
2019-07-01,185.0
2019-10-01,217.0
2020-01-01,157.0
2020-04-01,201.0
2020-07-01,261.0
2020-10-01,257.0
2021-01-01,234.0
2021-04-01,262.0
2021-07-01,308.0
2021-10-01,244.0
2022-01-01,243.0
2022-04-01,245.0
2022-07-01,250.0
2022-10-01,402.0
2023-01-01,610.0
2023-04-01,1091.0
2023-07-01,440.0
2023-10-01,1102.0
2024-01-01,1209.0
2024-04-01,1117.0
2024-07-01,910.0
2024-10-01,769.0
2025-01-01,942.0
2025-04-01,1166.0
