Tarih,TP_PYASENS_K13
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,83.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,90.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,73.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,89.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,222.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,217.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,234.0
2008-01-01,270.0
2008-04-01,296.0
2008-07-01,199.0
2008-10-01,194.0
2009-01-01,79.0
2009-04-01,231.0
2009-07-01,236.0
2009-10-01,469.0
2010-01-01,326.0
2010-04-01,356.0
2010-07-01,498.0
2010-10-01,567.0
2011-01-01,500.0
2011-04-01,444.0
2011-07-01,297.0
2011-10-01,378.0
2012-01-01,417.0
2012-04-01,242.0
2012-07-01,100.0
2012-10-01,366.0
2013-01-01,141.0
2013-04-01,37.0
2013-07-01,37.0
2013-10-01,5.0
2014-01-01,7.0
2014-04-01,4.0
2014-07-01,2.0
2014-10-01,5.0
2015-01-01,9.0
2015-04-01,10.0
2015-07-01,9.0
2015-10-01,9.0
2016-01-01,9.0
2016-04-01,7.0
2016-07-01,7.0
2016-10-01,7.0
2017-01-01,7.0
2017-04-01,6.0
2017-07-01,5.0
2017-10-01,5.0
2018-01-01,5.0
2018-04-01,4.0
2018-07-01,105.0
2018-10-01,99.0
2019-01-01,99.0
2019-04-01,32.0
2019-07-01,10.0
2019-10-01,28.0
2020-01-01,36.0
2020-04-01,7.0
2020-07-01,12.0
2020-10-01,9.0
2021-01-01,11.0
2021-04-01,19.0
2021-07-01,9.0
2021-10-01,61.0
2022-01-01,12.0
2022-04-01,11.0
2022-07-01,10.0
2022-10-01,15.0
2023-01-01,162.0
2023-04-01,206.0
2023-07-01,130.0
2023-10-01,105.0
2024-01-01,127.0
2024-04-01,126.0
2024-07-01,37.0
2024-10-01,167.0
2025-01-01,160.0
2025-04-01,490.0
