Tarih,TP_PYASENS_K7
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,4.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,2.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,1.0
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,1.0
2010-01-01,7.0
2010-04-01,7.0
2010-07-01,9.0
2010-10-01,
2011-01-01,8.0
2011-04-01,20.0
2011-07-01,9.0
2011-10-01,8.0
2012-01-01,7.0
2012-04-01,1.0
2012-07-01,
2012-10-01,4.0
2013-01-01,7.0
2013-04-01,67.0
2013-07-01,58.0
2013-10-01,80.0
2014-01-01,85.0
2014-04-01,71.0
2014-07-01,71.0
2014-10-01,75.0
2015-01-01,72.0
2015-04-01,81.0
2015-07-01,65.0
2015-10-01,85.0
2016-01-01,66.0
2016-04-01,68.0
2016-07-01,16.0
2016-10-01,12.0
2017-01-01,15.0
2017-04-01,13.0
2017-07-01,10.0
2017-10-01,12.0
2018-01-01,14.0
2018-04-01,11.0
2018-07-01,10.0
2018-10-01,102.0
2019-01-01,10.0
2019-04-01,125.0
2019-07-01,118.0
2019-10-01,128.0
2020-01-01,99.0
2020-04-01,117.0
2020-07-01,134.0
2020-10-01,204.0
2021-01-01,315.0
2021-04-01,255.0
2021-07-01,251.0
2021-10-01,178.0
2022-01-01,218.0
2022-04-01,199.0
2022-07-01,104.0
2022-10-01,436.0
2023-01-01,324.0
2023-04-01,346.0
2023-07-01,373.0
2023-10-01,408.0
2024-01-01,531.0
2024-04-01,542.0
2024-07-01,564.0
2024-10-01,532.0
2025-01-01,422.0
2025-04-01,206.0
