Tarih,TP_PYASENS_K14
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,1.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,2.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,4.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,4.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,1.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,2.0
2008-01-01,
2008-04-01,3.0
2008-07-01,4.0
2008-10-01,
2009-01-01,2.0
2009-04-01,3.0
2009-07-01,2.0
2009-10-01,2.0
2010-01-01,1.0
2010-04-01,3.0
2010-07-01,12.0
2010-10-01,2.0
2011-01-01,3.0
2011-04-01,3.0
2011-07-01,3.0
2011-10-01,3.0
2012-01-01,1.0
2012-04-01,9.0
2012-07-01,
2012-10-01,2.0
2013-01-01,
2013-04-01,19.0
2013-07-01,10.0
2013-10-01,62.0
2014-01-01,95.0
2014-04-01,99.0
2014-07-01,94.0
2014-10-01,96.0
2015-01-01,96.0
2015-04-01,86.0
2015-07-01,72.0
2015-10-01,53.0
2016-01-01,47.0
2016-04-01,49.0
2016-07-01,59.0
2016-10-01,60.0
2017-01-01,55.0
2017-04-01,36.0
2017-07-01,43.0
2017-10-01,32.0
2018-01-01,36.0
2018-04-01,20.0
2018-07-01,24.0
2018-10-01,25.0
2019-01-01,89.0
2019-04-01,47.0
2019-07-01,54.0
2019-10-01,50.0
2020-01-01,56.0
2020-04-01,135.0
2020-07-01,160.0
2020-10-01,143.0
2021-01-01,127.0
2021-04-01,124.0
2021-07-01,176.0
2021-10-01,64.0
2022-01-01,91.0
2022-04-01,99.0
2022-07-01,70.0
2022-10-01,126.0
2023-01-01,198.0
2023-04-01,120.0
2023-07-01,92.0
2023-10-01,177.0
2024-01-01,245.0
2024-04-01,292.0
2024-07-01,369.0
2024-10-01,198.0
2025-01-01,239.0
2025-04-01,274.0
