Tarih,TP_PYASENS_K11
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,373.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,627.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1739.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,662.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,276.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,2481.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,1384.0
2008-01-01,1399.0
2008-04-01,1416.0
2008-07-01,1523.0
2008-10-01,1482.0
2009-01-01,1539.0
2009-04-01,1011.0
2009-07-01,1001.0
2009-10-01,1044.0
2010-01-01,1081.0
2010-04-01,1126.0
2010-07-01,1144.0
2010-10-01,1197.0
2011-01-01,1254.0
2011-04-01,1146.0
2011-07-01,1513.0
2011-10-01,999.0
2012-01-01,678.0
2012-04-01,622.0
2012-07-01,546.0
2012-10-01,515.0
2013-01-01,494.0
2013-04-01,518.0
2013-07-01,387.0
2013-10-01,461.0
2014-01-01,715.0
2014-04-01,698.0
2014-07-01,737.0
2014-10-01,796.0
2015-01-01,718.0
2015-04-01,699.0
2015-07-01,677.0
2015-10-01,793.0
2016-01-01,646.0
2016-04-01,729.0
2016-07-01,842.0
2016-10-01,633.0
2017-01-01,648.0
2017-04-01,702.0
2017-07-01,599.0
2017-10-01,563.0
2018-01-01,343.0
2018-04-01,926.0
2018-07-01,531.0
2018-10-01,591.0
2019-01-01,838.0
2019-04-01,817.0
2019-07-01,717.0
2019-10-01,855.0
2020-01-01,826.0
2020-04-01,608.0
2020-07-01,576.0
2020-10-01,578.0
2021-01-01,691.0
2021-04-01,894.0
2021-07-01,573.0
2021-10-01,585.0
2022-01-01,575.0
2022-04-01,1013.0
2022-07-01,1288.0
2022-10-01,984.0
2023-01-01,1284.0
2023-04-01,477.0
2023-07-01,485.0
2023-10-01,479.0
2024-01-01,495.0
2024-04-01,534.0
2024-07-01,724.0
2024-10-01,803.0
2025-01-01,724.0
2025-04-01,629.0
