Tarih,TP_PYASENS_K16
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,33.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,34.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,13.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,12.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,18.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,63.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,37.0
2008-01-01,5.0
2008-04-01,2.0
2008-07-01,2.0
2008-10-01,2.0
2009-01-01,3.0
2009-04-01,
2009-07-01,1.0
2009-10-01,30.0
2010-01-01,
2010-04-01,12.0
2010-07-01,14.0
2010-10-01,1.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,
2012-01-01,1.0
2012-04-01,1.0
2012-07-01,2.0
2012-10-01,
2013-01-01,
2013-04-01,
2013-07-01,11.0
2013-10-01,13.0
2014-01-01,27.0
2014-04-01,22.0
2014-07-01,34.0
2014-10-01,9.0
2015-01-01,15.0
2015-04-01,35.0
2015-07-01,18.0
2015-10-01,40.0
2016-01-01,40.0
2016-04-01,28.0
2016-07-01,4.0
2016-10-01,13.0
2017-01-01,11.0
2017-04-01,1.0
2017-07-01,14.0
2017-10-01,12.0
2018-01-01,34.0
2018-04-01,6.0
2018-07-01,3.0
2018-10-01,3.0
2019-01-01,4.0
2019-04-01,18.0
2019-07-01,1.0
2019-10-01,1.0
2020-01-01,
2020-04-01,30.0
2020-07-01,31.0
2020-10-01,3.0
2021-01-01,3.0
2021-04-01,15.0
2021-07-01,15.0
2021-10-01,15.0
2022-01-01,39.0
2022-04-01,51.0
2022-07-01,136.0
2022-10-01,196.0
2023-01-01,91.0
2023-04-01,36.0
2023-07-01,142.0
2023-10-01,127.0
2024-01-01,420.0
2024-04-01,475.0
2024-07-01,513.0
2024-10-01,253.0
2025-01-01,318.0
2025-04-01,358.0
