Tarih,TP_PYASENS_K9
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,497.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,764.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1895.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,812.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,629.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,2961.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,1930.0
2008-01-01,1933.0
2008-04-01,1947.0
2008-07-01,1922.0
2008-10-01,1880.0
2009-01-01,1994.0
2009-04-01,1494.0
2009-07-01,1463.0
2009-10-01,1688.0
2010-01-01,1496.0
2010-04-01,1589.0
2010-07-01,1816.0
2010-10-01,1858.0
2011-01-01,1855.0
2011-04-01,1673.0
2011-07-01,1905.0
2011-10-01,1471.0
2012-01-01,1178.0
2012-04-01,954.0
2012-07-01,726.0
2012-10-01,996.0
2013-01-01,720.0
2013-04-01,628.0
2013-07-01,525.0
2013-10-01,641.0
2014-01-01,956.0
2014-04-01,930.0
2014-07-01,1001.0
2014-10-01,1012.0
2015-01-01,922.0
2015-04-01,915.0
2015-07-01,855.0
2015-10-01,976.0
2016-01-01,822.0
2016-04-01,890.0
2016-07-01,991.0
2016-10-01,787.0
2017-01-01,847.0
2017-04-01,816.0
2017-07-01,736.0
2017-10-01,705.0
2018-01-01,482.0
2018-04-01,1005.0
2018-07-01,711.0
2018-10-01,762.0
2019-01-01,1082.0
2019-04-01,993.0
2019-07-01,903.0
2019-10-01,1073.0
2020-01-01,983.0
2020-04-01,839.0
2020-07-01,868.0
2020-10-01,838.0
2021-01-01,928.0
2021-04-01,1171.0
2021-07-01,896.0
2021-10-01,844.0
2022-01-01,857.0
2022-04-01,1309.0
2022-07-01,1674.0
2022-10-01,1582.0
2023-01-01,1985.0
2023-04-01,1604.0
2023-07-01,1067.0
2023-10-01,1708.0
2024-01-01,2124.0
2024-04-01,2126.0
2024-07-01,2147.0
2024-10-01,1825.0
2025-01-01,1984.0
2025-04-01,2153.0
