Tarih,TP_PYASENS_K10
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,464.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,730.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1882.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,800.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,611.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,2898.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,1893.0
2008-01-01,1928.0
2008-04-01,1945.0
2008-07-01,1920.0
2008-10-01,1878.0
2009-01-01,1991.0
2009-04-01,1494.0
2009-07-01,1462.0
2009-10-01,1658.0
2010-01-01,1496.0
2010-04-01,1577.0
2010-07-01,1802.0
2010-10-01,1857.0
2011-01-01,1855.0
2011-04-01,1673.0
2011-07-01,1905.0
2011-10-01,1471.0
2012-01-01,1177.0
2012-04-01,953.0
2012-07-01,724.0
2012-10-01,996.0
2013-01-01,720.0
2013-04-01,628.0
2013-07-01,514.0
2013-10-01,628.0
2014-01-01,929.0
2014-04-01,908.0
2014-07-01,967.0
2014-10-01,1003.0
2015-01-01,907.0
2015-04-01,880.0
2015-07-01,837.0
2015-10-01,936.0
2016-01-01,782.0
2016-04-01,862.0
2016-07-01,987.0
2016-10-01,774.0
2017-01-01,836.0
2017-04-01,815.0
2017-07-01,722.0
2017-10-01,693.0
2018-01-01,448.0
2018-04-01,999.0
2018-07-01,708.0
2018-10-01,759.0
2019-01-01,1078.0
2019-04-01,975.0
2019-07-01,902.0
2019-10-01,1072.0
2020-01-01,983.0
2020-04-01,809.0
2020-07-01,837.0
2020-10-01,835.0
2021-01-01,925.0
2021-04-01,1156.0
2021-07-01,881.0
2021-10-01,829.0
2022-01-01,818.0
2022-04-01,1258.0
2022-07-01,1538.0
2022-10-01,1386.0
2023-01-01,1894.0
2023-04-01,1568.0
2023-07-01,925.0
2023-10-01,1581.0
2024-01-01,1704.0
2024-04-01,1651.0
2024-07-01,1634.0
2024-10-01,1572.0
2025-01-01,1666.0
2025-04-01,1795.0
