Tarih,TP_ODEAYRSUNUM6_Q17
2000-01-01,-98.0
2000-02-01,-174.0
2000-03-01,-216.0
2000-04-01,-125.0
2000-05-01,-170.0
2000-06-01,-143.0
2000-07-01,-210.0
2000-08-01,-218.0
2000-09-01,-162.0
2000-10-01,-169.0
2000-11-01,-160.0
2000-12-01,-55.0
2001-01-01,-86.0
2001-02-01,-81.0
2001-03-01,-21.0
2001-04-01,-16.0
2001-05-01,-22.0
2001-06-01,-31.0
2001-07-01,-83.0
2001-08-01,-115.0
2001-09-01,-158.0
2001-10-01,-187.0
2001-11-01,-98.0
2001-12-01,-65.0
2002-01-01,-103.0
2002-02-01,-83.0
2002-03-01,-127.0
2002-04-01,-120.0
2002-05-01,-93.0
2002-06-01,-72.0
2002-07-01,-167.0
2002-08-01,-180.0
2002-09-01,-101.0
2002-10-01,-193.0
2002-11-01,-44.0
2002-12-01,-72.0
2003-01-01,-105.0
2003-02-01,-209.0
2003-03-01,-253.0
2003-04-01,-156.0
2003-05-01,-172.0
2003-06-01,-260.0
2003-07-01,-354.0
2003-08-01,-326.0
2003-09-01,-237.0
2003-10-01,-249.0
2003-11-01,-57.0
2003-12-01,-144.0
2004-01-01,-212.0
2004-02-01,-298.0
2004-03-01,-280.0
2004-04-01,-357.0
2004-05-01,-224.0
2004-06-01,-218.0
2004-07-01,-442.0
2004-08-01,-297.0
2004-09-01,-299.0
2004-10-01,-206.0
2004-11-01,-205.0
2004-12-01,-369.0
2005-01-01,-364.0
2005-02-01,-417.0
2005-03-01,-396.0
2005-04-01,-314.0
2005-05-01,-325.0
2005-06-01,-313.0
2005-07-01,-470.0
2005-08-01,-387.0
2005-09-01,-267.0
2005-10-01,-143.0
2005-11-01,-157.0
2005-12-01,-201.0
2006-01-01,-177.0
2006-02-01,-177.0
2006-03-01,-209.0
2006-04-01,-276.0
2006-05-01,-717.0
2006-06-01,-60.0
2006-07-01,-81.0
2006-08-01,-437.0
2006-09-01,-516.0
2006-10-01,-203.0
2006-11-01,-274.0
2006-12-01,-218.0
2007-01-01,-312.0
2007-02-01,-80.0
2007-03-01,-238.0
2007-04-01,-241.0
2007-05-01,-512.0
2007-06-01,-655.0
2007-07-01,-992.0
2007-08-01,-593.0
2007-09-01,-159.0
2007-10-01,-279.0
2007-11-01,-168.0
2007-12-01,-125.0
2008-01-01,448.0
2008-02-01,364.0
2008-03-01,363.0
2008-04-01,49.0
2008-05-01,-528.0
2008-06-01,-658.0
2008-07-01,-310.0
2008-08-01,-1449.0
2008-09-01,-759.0
2008-10-01,224.0
2008-11-01,422.0
2008-12-01,469.0
2009-01-01,943.0
2009-02-01,1625.0
2009-03-01,888.0
2009-04-01,98.0
2009-05-01,72.0
2009-06-01,-64.0
2009-07-01,-444.0
2009-08-01,-437.0
2009-09-01,1.0
2009-10-01,-155.0
2009-11-01,26.0
2009-12-01,454.0
2010-01-01,120.0
2010-02-01,84.0
2010-03-01,217.0
2010-04-01,-4.0
2010-05-01,809.0
2010-06-01,165.0
2010-07-01,-797.0
2010-08-01,-314.0
2010-09-01,-202.0
2010-10-01,-366.0
2010-11-01,-147.0
2010-12-01,-18.0
2011-01-01,-566.0
2011-02-01,-216.0
2011-03-01,-7.0
2011-04-01,-179.0
2011-05-01,-27.0
2011-06-01,-343.0
2011-07-01,-641.0
2011-08-01,-1124.0
2011-09-01,-1363.0
2011-10-01,-565.0
2011-11-01,229.0
2011-12-01,24.0
2012-01-01,-2.0
2012-02-01,292.0
2012-03-01,318.0
2012-04-01,703.0
2012-05-01,357.0
2012-06-01,24.0
2012-07-01,-75.0
2012-08-01,1443.0
2012-09-01,953.0
2012-10-01,972.0
2012-11-01,447.0
2012-12-01,277.0
2013-01-01,-232.0
2013-02-01,-495.0
2013-03-01,-584.0
2013-04-01,-2136.0
2013-05-01,-1780.0
2013-06-01,-1760.0
2013-07-01,-1432.0
2013-08-01,-497.0
2013-09-01,-78.0
2013-10-01,-680.0
2013-11-01,-761.0
2013-12-01,-1344.0
2014-01-01,-175.0
2014-02-01,573.0
2014-03-01,1249.0
2014-04-01,-308.0
2014-05-01,-621.0
2014-06-01,-1074.0
2014-07-01,143.0
2014-08-01,-145.0
2014-09-01,-648.0
2014-10-01,-356.0
2014-11-01,-1968.0
2014-12-01,-567.0
2015-01-01,1076.0
2015-02-01,1505.0
2015-03-01,821.0
2015-04-01,1182.0
2015-05-01,-109.0
2015-06-01,-196.0
2015-07-01,-639.0
2015-08-01,-261.0
2015-09-01,520.0
2015-10-01,477.0
2015-11-01,-132.0
