Tarih,TP_ODEAYRSUNUM6_Q141
2023-06-01,82.0
2023-07-01,49.0
2023-08-01,-42.0
2023-09-01,118.0
2023-10-01,116.0
2023-11-01,20.0
2023-12-01,83.0
2024-01-01,2161.0
2024-02-01,18.0
2024-03-01,144.0
2024-04-01,42.0
2024-05-01,110.0
2024-06-01,321.0
2024-07-01,105.0
2024-08-01,-170.0
2024-09-01,178.0
2024-10-01,828.0
2024-11-01,-86.0
2024-12-01,-203.0
2025-01-01,2119.0
2025-02-01,-415.0
2025-03-01,1169.0
2025-04-01,-740.0
2025-05-01,150.0
2025-06-01,-1001.0
2025-07-01,96.0
2025-08-01,65.0
