Tarih,TP_ODEAYRSUNUM6_Q171
2022-06-01,-48.0
2022-07-01,29.0
2022-08-01,45.0
2022-09-01,-93.0
2022-10-01,93.0
2022-11-01,-84.0
2022-12-01,802.0
2023-01-01,-43.0
2023-02-01,-211.0
2023-03-01,10.0
2023-04-01,-21.0
2023-05-01,-49.0
2023-06-01,-23.0
2023-07-01,-23.0
2023-08-01,-103.0
2023-09-01,152.0
2023-10-01,56.0
2023-11-01,99.0
2023-12-01,817.0
2024-01-01,17.0
2024-02-01,-138.0
2024-03-01,27.0
2024-04-01,52.0
2024-05-01,-26.0
2024-06-01,234.0
2024-07-01,-58.0
2024-08-01,-133.0
2024-09-01,170.0
2024-10-01,45.0
2024-11-01,174.0
2024-12-01,315.0
2025-01-01,147.0
2025-02-01,-120.0
2025-03-01,-58.0
2025-04-01,3.0
2025-05-01,2.0
2025-06-01,-36.0
2025-07-01,527.0
2025-08-01,-68.0
