Tarih,TP_IYABGS2S_S22_C
2024-06-01,9.00282
2024-07-01,7.54865
2024-08-01,8.00311
2024-09-01,8.97508
2024-10-01,7.28135
2024-11-01,7.91048
2024-12-01,8.06091
2025-01-01,8.67685
2025-02-01,7.39957
2025-03-01,6.75467
2025-04-01,7.75758
2025-05-01,6.98222
2025-06-01,7.017
2025-07-01,5.84977
2025-08-01,5.80535
2025-09-01,7.51229
