Tarih,TP_IYABGS2S_S20_A
2024-05-01,13.84059
2024-06-01,15.33884
2024-07-01,12.4884
2024-08-01,15.11963
2024-09-01,12.52031
2024-10-01,14.48602
2024-11-01,15.03043
2024-12-01,14.8346
2025-01-01,12.19696
2025-02-01,14.36725
2025-03-01,11.35319
2025-04-01,13.86495
2025-05-01,17.58618
2025-06-01,19.85717
2025-07-01,17.63757
2025-08-01,14.28026
2025-09-01,13.54725
