Tarih,TP_IYABGS2S_S08_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,42.47486
2007-02-01,
2007-03-01,
2007-04-01,49.22869
2007-05-01,
2007-06-01,
2007-07-01,27.57361
2007-08-01,
2007-09-01,
2007-10-01,42.09883
2007-11-01,
2007-12-01,
2008-01-01,40.88659
2008-02-01,
2008-03-01,
2008-04-01,44.28187
2008-05-01,
2008-06-01,
2008-07-01,44.74893
2008-08-01,
2008-09-01,
2008-10-01,38.64098
2008-11-01,
2008-12-01,
2009-01-01,31.15258
2009-02-01,
2009-03-01,
2009-04-01,32.72128
2009-05-01,
2009-06-01,
2009-07-01,37.06192
2009-08-01,
2009-09-01,
2009-10-01,36.53121
2009-11-01,
2009-12-01,
2010-01-01,16.06708
2010-02-01,
2010-03-01,
2010-04-01,21.17627
2010-05-01,
2010-06-01,
2010-07-01,26.74651
2010-08-01,
2010-09-01,
2010-10-01,27.93192
2010-11-01,
2010-12-01,
2011-01-01,28.0245
2011-02-01,
2011-03-01,
2011-04-01,33.18467
2011-05-01,
2011-06-01,
2011-07-01,31.55219
2011-08-01,
2011-09-01,
2011-10-01,31.42825
2011-11-01,
2011-12-01,
2012-01-01,31.81669
2012-02-01,
2012-03-01,
2012-04-01,36.51859
2012-05-01,
2012-06-01,
2012-07-01,40.22714
2012-08-01,
2012-09-01,
2012-10-01,38.28902
2012-11-01,
2012-12-01,
2013-01-01,36.24582
2013-02-01,
2013-03-01,
2013-04-01,40.59387
2013-05-01,
2013-06-01,
2013-07-01,43.92888
2013-08-01,
2013-09-01,
2013-10-01,40.74416
2013-11-01,
2013-12-01,
2014-01-01,41.99484
2014-02-01,
2014-03-01,
2014-04-01,42.80287
2014-05-01,
2014-06-01,
2014-07-01,43.673
2014-08-01,
2014-09-01,
2014-10-01,38.48681
2014-11-01,
2014-12-01,
2015-01-01,37.81204
2015-02-01,
2015-03-01,
2015-04-01,40.80714
2015-05-01,
2015-06-01,
2015-07-01,40.10331
2015-08-01,
2015-09-01,
2015-10-01,40.09733
2015-11-01,
2015-12-01,
2016-01-01,42.24929
2016-02-01,
2016-03-01,
2016-04-01,42.31528
2016-05-01,
2016-06-01,
2016-07-01,41.58211
2016-08-01,
2016-09-01,
2016-10-01,40.37205
2016-11-01,
2016-12-01,
2017-01-01,39.28669
2017-02-01,
2017-03-01,
2017-04-01,42.80108
2017-05-01,
2017-06-01,
2017-07-01,45.05158
2017-08-01,
2017-09-01,
2017-10-01,44.59534
2017-11-01,
2017-12-01,
2018-01-01,46.7381
2018-02-01,
2018-03-01,
2018-04-01,44.15623
2018-05-01,
2018-06-01,
2018-07-01,44.35193
2018-08-01,
2018-09-01,
2018-10-01,38.32485
2018-11-01,
2018-12-01,
2019-01-01,33.67757
2019-02-01,
2019-03-01,
2019-04-01,37.67477
2019-05-01,
2019-06-01,
2019-07-01,40.19864
2019-08-01,
2019-09-01,
2019-10-01,40.88784
2019-11-01,
2019-12-01,
2020-01-01,41.56401
2020-02-01,
2020-03-01,
2020-04-01,26.81399
2020-05-01,
2020-06-01,
2020-07-01,39.5741
2020-08-01,
2020-09-01,
2020-10-01,41.28586
2020-11-01,
2020-12-01,
2021-01-01,48.44832
2021-02-01,
2021-03-01,
2021-04-01,43.45861
2021-05-01,
2021-06-01,
2021-07-01,51.47538
2021-08-01,
2021-09-01,
2021-10-01,47.42369
2021-11-01,
2021-12-01,
2022-01-01,45.75299
2022-02-01,
2022-03-01,
2022-04-01,42.92528
2022-05-01,
2022-06-01,
2022-07-01,46.09082
2022-08-01,
2022-09-01,
2022-10-01,41.94928
2022-11-01,
2022-12-01,
2023-01-01,46.34715
2023-02-01,
2023-03-01,
2023-04-01,42.6937
2023-05-01,
2023-06-01,
2023-07-01,42.27431
2023-08-01,
2023-09-01,
2023-10-01,43.44818
2023-11-01,
2023-12-01,
2024-01-01,43.06772
2024-02-01,
2024-03-01,
2024-04-01,44.82906
2024-05-01,
2024-06-01,
2024-07-01,48.62985
2024-08-01,
2024-09-01,
2024-10-01,41.77701
2024-11-01,
2024-12-01,
2025-01-01,45.49642
2025-02-01,
2025-03-01,
2025-04-01,43.71197
2025-05-01,
2025-06-01,
2025-07-01,43.38464
