Tarih,TP_IYABGS2S_S03_C
2024-06-01,25.41407
2024-07-01,28.47171
2024-08-01,29.73636
2024-09-01,29.02704
2024-10-01,27.48814
2024-11-01,25.20949
2024-12-01,26.92052
2025-01-01,28.02495
2025-02-01,26.63753
2025-03-01,24.97916
2025-04-01,27.15269
2025-05-01,24.4867
2025-06-01,25.70996
2025-07-01,25.52028
2025-08-01,26.66541
2025-09-01,25.47232
