Tarih,TP_IYABGS2S_S02_B
2024-05-01,74.49203
2024-06-01,71.28734
2024-07-01,68.50943
2024-08-01,66.27418
2024-09-01,66.87243
2024-10-01,71.1607
2024-11-01,72.62937
2024-12-01,71.58603
2025-01-01,72.85569
2025-02-01,69.96561
2025-03-01,72.02626
2025-04-01,70.43408
2025-05-01,72.50761
2025-06-01,72.73163
2025-07-01,71.7015
2025-08-01,70.6897
2025-09-01,71.85249
