Tarih,TP_PBD_G07,TP_PBD_H05
2000-01-01,,
2000-01-02,,
2000-01-03,,
2000-01-04,,
2000-01-05,,
2000-01-06,,
2000-01-07,,
2000-01-08,,
2000-01-09,,
2000-01-10,,
2000-01-11,,
2000-01-12,,
2000-02-01,,
2000-03-01,,
2000-04-01,,
2000-05-01,,
2000-06-01,,
2000-07-01,,
2000-08-01,,
2000-09-01,,
2000-10-01,,
2000-11-01,,
2000-12-01,,
2001-01-01,,
2001-01-02,,
2001-01-03,,
2001-01-04,,
2001-01-05,,
2001-01-06,,
2001-01-07,,
2001-01-08,,
2001-01-09,,
2001-01-10,,
2001-01-11,,
2001-01-12,,
2001-02-01,,
2001-03-01,,
2001-04-01,,
2001-05-01,,
2001-06-01,,
2001-07-01,,
2001-08-01,,
2001-09-01,,
2001-10-01,,
2001-11-01,,
2001-12-01,,
2002-01-01,,
2002-01-02,,
2002-01-03,,
2002-01-04,,
2002-01-05,,
2002-01-06,,
2002-01-07,,
2002-01-08,,
2002-01-09,,
2002-01-10,,
2002-01-11,,
2002-01-12,,
2002-02-01,,
2002-03-01,,
2002-04-01,,
2002-05-01,,
2002-06-01,,
2002-07-01,,
2002-08-01,,
2002-09-01,,
2002-10-01,,
2002-11-01,,
2002-12-01,,
2003-01-01,,
2003-01-02,,
2003-01-03,,
2003-01-04,,
2003-01-05,,
2003-01-06,,
2003-01-07,,
2003-01-08,,
2003-01-09,,
2003-01-10,,
2003-01-11,,
2003-01-12,,
2003-02-01,,
2003-03-01,,
2003-04-01,,
2003-05-01,,
2003-06-01,,
2003-07-01,,
2003-08-01,,
2003-09-01,,
2003-10-01,,
2003-11-01,,
2003-12-01,,
2004-01-01,,
2004-01-02,,
2004-01-03,,
2004-01-04,,
2004-01-05,,
2004-01-06,,
2004-01-07,,
2004-01-08,,
2004-01-09,,
2004-01-10,,
2004-01-11,,
2004-01-12,,
2004-02-01,,
2004-03-01,,
2004-04-01,,
2004-05-01,,
2004-06-01,,
2004-07-01,,
2004-08-01,,
2004-09-01,,
2004-10-01,,
2004-11-01,,
2004-12-01,,
2005-01-01,,
2005-01-02,,
2005-01-03,,
2005-01-04,,
2005-01-05,,
2005-01-06,,
2005-01-07,,
2005-01-08,,
2005-01-09,,
2005-01-10,,
2005-01-11,,
2005-01-12,-48269913.0,
2005-02-01,,
2005-03-01,,
2005-04-01,,
2005-05-01,,
2005-06-01,,
2005-07-01,,
2005-08-01,,
2005-09-01,,
2005-10-01,,
2005-11-01,,
2005-12-01,,25187402.0
2006-01-01,,20990921.0
2006-01-02,-50340962.0,
2006-01-03,-53123578.0,
2006-01-04,-55333964.0,
2006-01-05,-66327301.0,
2006-01-06,-68942252.0,
2006-01-07,-65441831.0,
2006-01-08,-61120406.0,
2006-01-09,-65308898.0,
2006-01-10,-63407538.0,
2006-01-11,-63855405.0,
2006-01-12,-64511236.0,
2006-02-01,,21827262.0
2006-03-01,,22940847.0
2006-04-01,,22722092.0
2006-05-01,,24916027.0
2006-06-01,,25620513.0
2006-07-01,,23875626.0
2006-08-01,,24288137.0
2006-09-01,,24525081.0
2006-10-01,,23444394.0
2006-11-01,,22934915.0
2006-12-01,,24419289.0
2007-01-01,,22295234.0
2007-01-02,-62633429.0,
2007-01-03,-63186018.0,
2007-01-04,-61735468.0,
2007-01-05,-63260562.0,
2007-01-06,-65771767.0,
2007-01-07,-64051500.0,
2007-01-08,-65825877.0,
2007-01-09,-61774415.0,
2007-01-10,-59689876.0,
2007-01-11,-61325494.0,
2007-01-12,-64230342.0,
2007-02-01,,22678979.0
2007-03-01,,21924956.0
2007-04-01,,23488514.0
2007-05-01,,24267338.0
2007-06-01,,25017211.0
2007-07-01,,25546118.0
2007-08-01,,26256951.0
2007-09-01,,25171759.0
2007-10-01,,25520147.0
2007-11-01,,26728157.0
2007-12-01,,29625893.0
2008-01-01,,26886344.0
2008-01-02,-67417330.0,
2008-01-03,-76286971.0,
2008-01-04,-75057373.0,
2008-01-05,-72953450.0,
2008-01-06,-76022398.0,
2008-01-07,-74243697.0,
2008-01-08,-75356085.0,
2008-01-09,-80867222.0,
2008-01-10,-90286615.0,
2008-01-11,-87210574.0,
2008-01-12,-85746205.0,
2008-02-01,,27985395.0
2008-03-01,,29886347.0
2008-04-01,,29571136.0
2008-05-01,,27995113.0
2008-06-01,,31084619.0
2008-07-01,,30260065.0
2008-08-01,,29244273.0
2008-09-01,,33224634.0
2008-10-01,,31665014.0
2008-11-01,,30109141.0
2008-12-01,,32929262.0
2009-01-01,-87198699.0,
2009-01-02,-84958402.0,
2009-01-03,-85060470.0,
2009-01-04,-79247407.0,
2009-01-05,-75863470.0,
2009-01-06,-78313492.0,
2009-01-07,-74742570.0,
2009-01-08,-75482063.0,
2009-01-09,-76021887.0,
2009-01-10,-74787335.0,
2009-01-11,-77782826.0,
2009-01-12,-81363999.0,
2009-02-01,,33333638.0
2009-03-01,,32881278.0
2009-04-01,,33373558.0
2009-05-01,,33512767.0
2009-06-01,,35189517.0
2009-07-01,,35555820.0
2009-08-01,,35178661.0
2009-09-01,,39319864.0
2009-10-01,,37871452.0
2009-11-01,,39672259.0
2009-12-01,,44630297.0
2010-01-01,-81857247.0,
2010-01-02,-87539824.0,
2010-01-03,-91738818.0,
2010-01-04,-92174405.0,
2010-01-05,-98889302.0,
2010-01-06,-106556642.0,
2010-01-07,-111522561.0,
2010-01-08,-109310851.0,
2010-01-09,-110374464.0,
2010-01-10,-112370897.0,
2010-01-11,-118906403.0,
2010-01-12,-130890422.0,
2010-02-01,,43245244.0
2010-03-01,,43733094.0
2010-04-01,,43090608.0
2010-05-01,,44748920.0
2010-06-01,,48864560.0
2010-07-01,,46144449.0
2010-08-01,,47597134.0
2010-09-01,,49736638.0
2010-10-01,,49377600.0
2010-11-01,,49676176.0
2010-12-01,,59426706.0
2011-01-01,,54582444.0
2011-01-02,-138493814.0,
2011-01-03,-139667398.0,
2011-01-04,-143009528.0,
2011-01-05,-154727953.0,
2011-01-06,-159740116.0,
2011-01-07,-167808699.0,
2011-01-08,-177979901.0,
2011-01-09,-187265172.0,
2011-01-10,-178991984.0,
2011-01-11,-187004395.0,
2011-01-12,-184153421.0,
2011-02-01,,55884511.0
2011-03-01,,57123539.0
2011-04-01,,57441229.0
2011-05-01,,59706474.0
2011-06-01,,64707149.0
2011-07-01,,62807390.0
2011-08-01,,64168350.0
2011-09-01,,62900439.0
2011-10-01,,60415657.0
2011-11-01,,60811075.0
2011-12-01,,65317548.0
2012-01-01,,58905894.0
2012-01-02,-184098084.0,
2012-01-03,-186538213.0,
2012-01-04,-196028522.0,
2012-01-05,-205012091.0,
2012-01-06,-204238601.0,
2012-01-07,-202517593.0,
2012-01-08,-211254427.0,
2012-01-09,-209001745.0,
2012-01-10,-213348306.0,
2012-01-11,-215601149.0,
2012-01-12,-220943749.0,
2012-02-01,,59170314.0
2012-03-01,,58914405.0
2012-04-01,,60560947.0
2012-05-01,,61865014.0
2012-06-01,,66478539.0
2012-07-01,,63482711.0
2012-08-01,,65449380.0
2012-09-01,,69991452.0
2012-10-01,,67860557.0
2012-11-01,,66966287.0
2012-12-01,,73779299.0
2013-01-01,,69231837.0
2013-01-02,-234159589.0,
2013-01-03,-249254334.0,
2013-01-04,-259614253.0,
2013-01-05,-271797825.0,
2013-01-06,-286924319.0,
2013-01-07,-290894062.0,
2013-01-08,-313790907.0,
2013-01-09,-315135910.0,
2013-01-10,-311617611.0,
2013-01-11,-324579001.0,
2013-01-12,-352256990.0,
2013-02-01,,71924985.0
2013-03-01,,74946959.0
2013-04-01,,75012803.0
2013-05-01,,81646284.0
2013-06-01,,88841407.0
2013-07-01,,86496640.0
2013-08-01,,88816967.0
2013-09-01,,91481345.0
2013-10-01,,89789616.0
2013-11-01,,89361837.0
2013-12-01,,99549029.0
2014-01-01,-366751219.0,
2014-01-02,-358527934.0,
2014-01-03,-353353195.0,
2014-01-04,-354698097.0,
2014-01-05,-355512182.0,
2014-01-06,-361933704.0,
2014-01-07,-365490329.0,
2014-01-08,-371922514.0,
2014-01-09,-398883831.0,
2014-01-10,-397098572.0,
2014-01-11,-402811638.0,
2014-01-12,-416423513.0,
2014-02-01,,90426787.0
2014-03-01,,90526848.0
2014-04-01,,90705012.0
2014-05-01,,90680502.0
2014-06-01,,98210309.0
2014-07-01,,100804864.0
2014-08-01,,99744454.0
2014-09-01,,105453482.0
2014-10-01,,99062639.0
2014-11-01,,99049009.0
2014-12-01,,109858083.0
2015-01-01,-441316038.0,
2015-01-02,-448543153.0,
2015-01-03,-473119231.0,
2015-01-04,-494714332.0,
2015-01-05,-493488280.0,
2015-01-06,-499820969.0,
2015-01-07,-520263789.0,
2015-01-08,-544464916.0,
2015-01-09,-562924312.0,
2015-01-10,-542210310.0,
2015-01-11,-530569034.0,
2015-01-12,-499589416.0,
2015-02-01,,110250863.0
2015-03-01,,110088172.0
2015-04-01,,112866499.0
2015-05-01,,113702116.0
2015-06-01,,114068682.0
2015-07-01,,117366668.0
2015-08-01,,118978869.0
2015-09-01,,122022298.0
2015-10-01,,115765532.0
2015-11-01,,118735891.0
2015-12-01,,124904861.0
2016-01-01,-514170264.0,
2016-01-02,-521401400.0,
2016-01-03,-502871680.0,
2016-01-04,-502291823.0,
2016-01-05,-522778268.0,
2016-01-06,-516473299.0,
2016-01-07,-533358981.0,
2016-01-08,-520277266.0,
2016-01-09,-522712457.0,
2016-01-10,-538782348.0,
2016-01-11,-592377236.0,
2016-01-12,-593635182.0,
2016-02-01,,123475861.0
2016-03-01,,122175970.0
2016-04-01,,123873461.0
2016-05-01,,132508476.0
2016-06-01,,141120076.0
2016-07-01,,142948066.0
2016-08-01,,140505501.0
2016-09-01,,143835954.0
2016-10-01,,143059026.0
2016-11-01,,145343150.0
2016-12-01,,158360114.0
2017-01-01,-667529308.0,
2017-01-02,-635514689.0,
2017-01-03,-637729821.0,
2017-01-04,-636242740.0,
2017-01-05,-650931567.0,
2017-01-06,-640531681.0,
2017-01-07,-636230819.0,
2017-01-08,-631184774.0,
2017-01-09,-645874025.0,
2017-01-10,-692265131.0,
2017-01-11,-719483081.0,
2017-01-12,-699198264.0,
2017-02-01,,148082731.0
2017-03-01,,161420246.0
2017-04-01,,166606642.0
2017-05-01,,162925073.0
2017-06-01,,164389363.0
2017-07-01,,166393749.0
2017-08-01,,163543844.0
2017-09-01,,172656432.0
2017-10-01,,177229126.0
2017-11-01,,172428171.0
2017-12-01,,178490805.0
2018-01-01,-713795523.0,
2018-01-02,-716877651.0,
2018-01-03,-738579142.0,
2018-01-04,-763682238.0,
2018-01-05,-849930088.0,
2018-01-06,-850866523.0,
2018-01-07,-909530461.0,
2018-01-08,-1212629541.0,
2018-01-09,-1059257444.0,
2018-01-10,-944326474.0,
2018-01-11,-869234517.0,
2018-01-12,-857449253.0,
2018-02-01,,170681836.0
2018-03-01,,180542028.0
2018-04-01,,180876949.0
2018-05-01,,184344924.0
2018-06-01,,191517827.0
2018-07-01,,197673220.0
2018-08-01,,206443207.0
2018-09-01,,182603188.0
2018-10-01,,170958267.0
2018-11-01,,165362776.0
2018-12-01,,170733421.0
2019-01-01,,169539499.0
2019-01-02,-858290567.0,
2019-01-03,-907327865.0,
2019-01-04,-944430923.0,
2019-01-05,-915051989.0,
2019-01-06,-891533165.0,
2019-01-07,-851901316.0,
2019-01-08,-871706859.0,
2019-01-09,-836719115.0,
2019-01-10,-829131802.0,
2019-01-11,-826532729.0,
2019-01-12,-853191498.0,
2019-02-01,,176301206.0
2019-03-01,,183060225.0
2019-04-01,,182873113.0
2019-05-01,,194204354.0
2019-06-01,,189354460.0
2019-07-01,,190140798.0
2019-08-01,,209486047.0
2019-09-01,,211048773.0
2019-10-01,,219006052.0
2019-11-01,,226330592.0
2019-12-01,,251559014.0
2020-01-01,,258610225.0
2020-01-02,-889359382.0,
2020-01-03,-917790669.0,
2020-01-04,-955309565.0,
2020-01-05,-950742991.0,
2020-01-06,-952424548.0,
2020-01-07,-1003875875.0,
2020-01-08,-1064245551.0,
2020-01-09,-1105429838.0,
2020-01-10,-1157611224.0,
2020-01-11,-1097414112.0,
2020-01-12,-1070349743.0,
2020-02-01,,262493385.0
2020-03-01,,284290148.0
2020-04-01,,348192074.0
2020-05-01,,353133925.0
2020-06-01,,383566378.0
2020-07-01,,383538428.0
2020-08-01,,353778669.0
2020-09-01,,344850012.0
2020-10-01,,340779454.0
2020-11-01,,310561037.0
2020-12-01,,304244309.0
2021-01-01,,298289784.0
2021-01-02,-1078679743.0,
2021-01-03,-1190873031.0,
2021-01-04,-1177473084.0,
2021-01-05,-1200721195.0,
2021-01-06,-1207362329.0,
2021-01-07,-1174753172.0,
2021-01-08,-1157704563.0,
2021-01-09,-1207534522.0,
2021-01-10,-1271931799.0,
2021-01-11,-1681777230.0,
2021-01-12,-1705607746.0,
2021-02-01,,305868640.0
2021-03-01,,335658908.0
2021-04-01,,336686515.0
2021-05-01,,347544385.0
2021-06-01,,374896782.0
2021-07-01,,375416190.0
2021-08-01,,370222827.0
2021-09-01,,395533330.0
2021-10-01,,426218519.0
2021-11-01,,462416984.0
2021-12-01,,448281441.0
2022-01-01,-1742026806.0,
2022-01-02,-1798408445.0,
2022-01-03,-1886421509.0,
2022-01-04,-1892513355.0,
2022-01-05,-2072068699.0,
2022-01-06,-2106215157.0,
2022-01-07,-2232343445.0,
2022-01-08,-2260282623.0,
2022-01-09,-2298715839.0,
2022-01-10,-2331731781.0,
2022-01-11,-2363397598.0,
2022-01-12,-2381555837.0,
2022-02-01,,452729325.0
2022-03-01,,514110478.0
2022-04-01,,576790842.0
2022-05-01,,576976809.0
2022-06-01,,613184341.0
2022-07-01,,665635417.0
2022-08-01,,698551826.0
2022-09-01,,735281048.0
2022-10-01,,786742438.0
2022-11-01,,829597273.0
2022-12-01,,972876046.0
2023-01-01,,925563423.0
2023-01-02,-2493684772.0,
2023-01-03,-2537569840.0,
2023-01-04,-2586985791.0,
2023-01-05,-2709672718.0,
2023-01-06,-3366326254.0,
2023-01-07,-3508463715.0,
2023-01-08,-3492504841.0,
2023-01-09,-3633974170.0,
2023-01-10,-3804988035.0,
2023-01-11,-3992695743.0,
2023-01-12,-4126031643.0,
2023-02-01,,1008012675.0
2023-03-01,,1118526349.0
2023-04-01,,1164872627.0
2023-05-01,,1024376853.0
2023-06-01,,1131044157.0
2023-07-01,,1182395271.0
2023-08-01,,1233443684.0
2023-09-01,,1270729757.0
2023-10-01,,1244608784.0
2023-11-01,,1204273583.0
2023-12-01,,1297554179.0
2024-01-01,-4310857805.0,
2024-01-02,-4481938550.0,
2024-01-03,-4770299858.0,
2024-01-04,-4802637025.0,
2024-01-05,-4948334219.0,
2024-01-06,-5120198932.0,
2024-01-07,-5270328112.0,
2024-01-08,-5398796943.0,
2024-01-09,-5551702601.0,
2024-01-10,-5672559089.0,
2024-01-11,-5715961703.0,
2024-01-12,-5948183419.0,
2024-02-01,,1354329855.0
2024-03-01,,1348463190.0
2024-04-01,,1366986620.0
2024-05-01,,1414831531.0
2024-06-01,,1595790729.0
2024-07-01,,1578906710.0
2024-08-01,,1630827180.0
2024-09-01,,1776837319.0
2024-10-01,,1710388290.0
2024-11-01,,1669340293.0
2024-12-01,,1887523621.0
2025-01-01,,1824223599.0
2025-01-02,-6375284967.0,
2025-01-03,-6854220087.0,
2025-01-04,-6913234216.0,
2025-01-05,-7242573427.0,
2025-01-06,-7604133150.0,
2025-01-07,-7852403965.0,
2025-01-08,-8160370938.0,
2025-02-01,,1959538861.0
2025-03-01,,2080174733.0
2025-04-01,,2043644284.0
2025-05-01,,2080966465.0
2025-06-01,,2314159358.0
2025-07-01,,2232108319.0
2025-08-01,,2274339023.0
