Tarih,TP_PBD_G12
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,147165358.24
2006-01-01,145933813.05
2006-02-01,148406514.9
2006-03-01,150928494.9
2006-04-01,151067149.37
2006-05-01,159175602.77
2006-06-01,156024840.77
2006-07-01,151620497.81
2006-08-01,150112522.77
2006-09-01,149386696.09
2006-10-01,146596122.08
2006-11-01,149365368.73
2006-12-01,147657129.65
2007-01-01,149366693.3
2007-02-01,153900242.98
2007-03-01,156895856.12
2007-04-01,152269314.59
2007-05-01,150480588.16
2007-06-01,153306029.43
2007-07-01,152231308.2
2007-08-01,158069303.7
2007-09-01,156211971.75
2007-10-01,155137130.0
2007-11-01,157565938.0
2007-12-01,156738231.0
2008-01-01,156380366.0
2008-02-01,158879121.0
2008-03-01,165581874.0
2008-04-01,166126522.0
2008-05-01,159322153.0
2008-06-01,159255005.0
2008-07-01,158526567.0
2008-08-01,159409652.0
2008-09-01,163738350.0
2008-10-01,172668722.0
2008-11-01,178782848.0
2008-12-01,181347325.0
2009-01-01,187366603.0
2009-02-01,195245940.0
2009-03-01,198265775.0
2009-04-01,201370929.0
2009-05-01,207924301.0
2009-06-01,208993009.0
2009-07-01,213439870.0
2009-08-01,221531397.0
2009-09-01,227061234.0
2009-10-01,235400690.0
2009-11-01,240235079.0
2009-12-01,244587058.0
2010-01-01,250219906.0
2010-02-01,256811446.0
2010-03-01,255241788.0
2010-04-01,249699378.0
2010-05-01,251605761.0
2010-06-01,253562346.0
2010-07-01,251803337.0
2010-08-01,251486782.0
2010-09-01,253365425.0
2010-10-01,252367971.0
2010-11-01,257805497.0
2010-12-01,260582013.0
2011-01-01,256081194.0
2011-02-01,256868350.0
2011-03-01,253085201.0
2011-04-01,249537303.0
2011-05-01,251101402.0
2011-06-01,248071506.0
2011-07-01,247213651.0
2011-08-01,251436221.0
2011-09-01,255100531.0
2011-10-01,251869809.0
2011-11-01,250723628.0
2011-12-01,245576631.0
2012-01-01,248373913.0
2012-02-01,253528848.0
2012-03-01,248883732.0
2012-04-01,246351921.0
2012-05-01,249154716.0
2012-06-01,249465198.0
2012-07-01,242201823.0
2012-08-01,244340250.0
2012-09-01,243451683.0
2012-10-01,241841101.0
2012-11-01,238719570.0
2012-12-01,234695720.0
2013-01-01,235032214.0
2013-02-01,238748042.0
2013-03-01,235712625.0
2013-04-01,227060114.0
2013-05-01,231262621.0
2013-06-01,229462372.0
2013-07-01,235568545.0
2013-08-01,232530771.0
2013-09-01,236219613.0
