Tarih,TP_PBD_G06
2000-01-01,-6666827.0
2000-02-01,-6774700.0
2000-03-01,-6884703.0
2000-04-01,-6892416.0
2000-05-01,-7275782.0
2000-06-01,-7495597.0
2000-07-01,-7711605.0
2000-08-01,-7742998.0
2000-09-01,-7817409.0
2000-10-01,-7773920.0
2000-11-01,-7992844.0
2000-12-01,-10251109.0
2001-01-01,-10330390.0
2001-02-01,-14941295.0
2001-03-01,-16878950.0
2001-04-01,-18848139.0
2001-05-01,-22501472.0
2001-06-01,-24490137.0
2001-07-01,-28115752.0
2001-08-01,-32308153.0
2001-09-01,-36511249.0
2001-10-01,-37625210.0
2001-11-01,-34923060.0
2001-12-01,-36574718.0
2002-01-01,-33389256.0
2002-02-01,-39684269.0
2002-03-01,-38126789.0
2002-04-01,-40652314.0
2002-05-01,-44278847.0
2002-06-01,-51977257.0
2002-07-01,-56938714.0
2002-08-01,-57329475.0
2002-09-01,-58112313.0
2002-10-01,-59148400.0
2002-11-01,-55039489.0
2002-12-01,-60256136.0
2003-01-01,-61664455.0
2003-02-01,-60301457.0
2003-03-01,-63681554.0
2003-04-01,-60823632.0
2003-05-01,-57452903.0
2003-06-01,-55907718.0
2003-07-01,-55961689.0
2003-08-01,-53899899.0
2003-09-01,-54925007.0
2003-10-01,-60301561.0
2003-11-01,-59207409.0
2003-12-01,-58937920.0
2004-01-01,-56050256.0
2004-02-01,-54829005.0
2004-03-01,-53086121.0
2004-04-01,-57217051.0
2004-05-01,-59694071.0
2004-06-01,-58825147.0
2004-07-01,-57426704.0
2004-08-01,-59137782.0
2004-09-01,-58996293.0
2004-10-01,-59001895.0
2004-11-01,-57847655.0
2004-12-01,-55221014.0
2005-01-01,-52825168.0
2005-02-01,-50869365.0
2005-03-01,-52804696.0
2005-04-01,-52582417.0
2005-05-01,-49597432.0
2005-06-01,-47002334.0
2005-07-01,-46145646.0
2005-08-01,-45574715.0
2005-09-01,-43639239.0
2005-10-01,-43724349.0
2005-11-01,-40890387.0
2005-12-01,-42263486.0
2006-01-01,-41904282.4
2006-02-01,-39023935.6
2006-03-01,-39977478.0
2006-04-01,-39795011.1
2006-05-01,-44913155.8
2006-06-01,-45475333.0
2006-07-01,-42325274.3
2006-08-01,-42040511.2
2006-09-01,-42402963.5
2006-10-01,-40537536.4
2006-11-01,-39341928.4
2006-12-01,-39144535.29
2007-01-01,-38426183.3
2007-02-01,-35521254.1
2007-03-01,-35186818.9
2007-04-01,-33238996.1
2007-05-01,-33632358.6
2007-06-01,-33055800.6
2007-07-01,-32555375.9
2007-08-01,-31987679.7
2007-09-01,-29616207.4
2007-10-01,-28938548.0
2007-11-01,-28908351.0
2007-12-01,-27941560.0
2008-01-01,-28040443.0
2008-02-01,-28233757.0
2008-03-01,-31308377.0
2008-04-01,-30759770.0
2008-05-01,-33315965.0
2008-06-01,-33219458.0
2008-07-01,-31632585.0
2008-08-01,-29642473.0
2008-09-01,-30160196.0
2008-10-01,-33193660.0
2008-11-01,-34161279.0
2008-12-01,-34587496.0
2009-01-01,-34266201.0
2009-02-01,-34681060.0
2009-03-01,-34894591.0
2009-04-01,-33007339.0
2009-05-01,-33444622.0
2009-06-01,-32955015.0
2009-07-01,-31725108.0
2009-08-01,-32215510.0
2009-09-01,-34777080.0
2009-10-01,-35188615.0
2009-11-01,-35525279.0
2009-12-01,-34701051.0
2010-01-01,-33705755.0
2010-02-01,-33940841.0
2010-03-01,-33368100.0
2010-04-01,-31994976.0
2010-05-01,-31474858.0
2010-06-01,-31054434.0
2010-07-01,-30755056.0
2010-08-01,-30156013.0
2010-09-01,-29697545.0
2010-10-01,-29446725.0
2010-11-01,-29026767.0
2010-12-01,-29670375.0
2011-01-01,-30996975.0
2011-02-01,-30545952.0
2011-03-01,-29721565.0
2011-04-01,-29589943.0
2011-05-01,-29944672.0
2011-06-01,-30227758.0
2011-07-01,-30620528.0
2011-08-01,-30149377.0
2011-09-01,-29669672.0
2011-10-01,-28389018.0
2011-11-01,-27485602.0
2011-12-01,-26979604.0
2012-01-01,-25706108.0
2012-02-01,-24272507.0
2012-03-01,-24362744.0
2012-04-01,-23776447.0
2012-05-01,-22454420.0
2012-06-01,-22011763.0
2012-07-01,-20956881.0
2012-08-01,-19935616.0
2012-09-01,-19388308.0
2012-10-01,-18966014.0
2012-11-01,-17819865.0
2012-12-01,-17863743.0
2013-01-01,-18003653.0
2013-02-01,-17151462.0
2013-03-01,-16941151.0
2013-04-01,-16674897.0
2013-05-01,-16049148.0
2013-06-01,-16297936.0
2013-07-01,-16151016.0
2013-08-01,-16500010.0
2013-09-01,-15770248.0
2013-10-01,-15467418.0
2013-11-01,-15220294.0
2013-12-01,-16074503.0
2014-01-01,-16589136.0
2014-02-01,-16058837.0
2014-03-01,-15519372.0
2014-04-01,-14662451.0
2014-05-01,-14101234.0
2014-06-01,-13626891.0
2014-07-01,-12825366.0
2014-08-01,-11905924.0
2014-09-01,-11377051.0
2014-10-01,-10665056.0
2014-11-01,-10648034.0
2014-12-01,-10783788.0
2015-01-01,-10295832.0
2015-02-01,-10759568.0
2015-03-01,-10672626.0
2015-04-01,-10718891.0
2015-05-01,-10624467.0
2015-06-01,-10269437.0
2015-07-01,-10241091.0
2015-08-01,-10443729.0
2015-09-01,-10212491.0
2015-10-01,-9460864.0
2015-11-01,-9345864.0
2015-12-01,-9724295.0
2016-01-01,-9551896.0
2016-02-01,-11962237.0
2016-03-01,-9529339.0
2016-04-01,-9145800.0
2016-05-01,-9327116.0
2016-06-01,-8816255.0
2016-07-01,-8975674.0
2016-08-01,-8587705.0
2016-09-01,-8635730.0
2016-10-01,-8475513.0
2016-11-01,-10132106.0
2016-12-01,-10530342.0
2017-01-01,-10791346.0
2017-02-01,-9801383.0
2017-03-01,-11920210.0
2017-04-01,-10641588.0
2017-05-01,-10591062.0
2017-06-01,-10288890.0
2017-07-01,-10301797.0
2017-08-01,-10078507.0
2017-09-01,-10661041.0
2017-10-01,-10732098.0
2017-11-01,-10901815.0
2017-12-01,-11565265.0
2018-01-01,-11545176.0
2018-02-01,-11584783.0
2018-03-01,-20520681.0
2018-04-01,-12456120.0
2018-05-01,-11892530.0
2018-06-01,-12038908.0
2018-07-01,-12374427.0
