Tarih,TP_PBD_H06
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,18521832.12
2006-01-01,17693488.9
2006-02-01,17104615.1
2006-03-01,16534579.8
2006-04-01,17441772.5
2006-05-01,24514770.7
2006-06-01,22849815.8
2006-07-01,21324002.2
2006-08-01,21911129.5
2006-09-01,21824561.6
2006-10-01,22472664.2
2006-11-01,22162593.3
2006-12-01,22809455.45
2007-01-01,21896298.1
2007-02-01,22104396.8
2007-03-01,22191355.6
2007-04-01,23200947.4
2007-05-01,22078832.0
2007-06-01,23044270.3
2007-07-01,23459731.3
2007-08-01,22905756.1
2007-09-01,21848144.9
2007-10-01,21789926.0
2007-11-01,21073583.0
2007-12-01,21617017.0
2008-01-01,20699258.0
2008-02-01,20351498.0
2008-03-01,22089320.0
2008-04-01,23470223.0
2008-05-01,23048070.0
2008-06-01,23052581.0
2008-07-01,23404965.0
2008-08-01,22143559.0
2008-09-01,21595582.0
2008-10-01,22883636.0
2008-11-01,21789732.0
2008-12-01,23141653.0
2009-01-01,22062415.0
2009-02-01,22477604.0
2009-03-01,24002147.0
2009-04-01,23364131.0
2009-05-01,24624757.0
2009-06-01,24969921.0
2009-07-01,25079389.0
2009-08-01,25721328.0
2009-09-01,27495432.0
2009-10-01,27067189.0
2009-11-01,27388283.0
2009-12-01,28421409.0
2010-01-01,28192493.0
2010-02-01,26996794.0
2010-03-01,27862119.0
2010-04-01,27910509.0
2010-05-01,26377776.0
2010-06-01,27737532.0
2010-07-01,28713485.0
2010-08-01,28761593.0
2010-09-01,31209908.0
2010-10-01,30000985.0
2010-11-01,29956614.0
2010-12-01,31285240.0
2011-01-01,29445505.0
2011-02-01,29367534.0
2011-03-01,31856070.0
2011-04-01,31689459.0
2011-05-01,31171859.0
2011-06-01,32430720.0
2011-07-01,34139048.0
2011-08-01,39201692.0
2011-09-01,42106804.0
2011-10-01,43232772.0
2011-11-01,42267445.0
2011-12-01,46337763.0
2012-01-01,42978503.0
2012-02-01,42811317.0
2012-03-01,44115554.0
2012-04-01,44641979.0
2012-05-01,44402810.0
2012-06-01,46908827.0
2012-07-01,44920503.0
2012-08-01,44871471.0
2012-09-01,47505739.0
2012-10-01,46053659.0
2012-11-01,46520608.0
2012-12-01,53036875.0
2013-01-01,49586212.0
2013-02-01,49133117.0
2013-03-01,51838778.0
2013-04-01,51606022.0
2013-05-01,51458208.0
2013-06-01,52040464.0
2013-07-01,52621552.0
2013-08-01,55346831.0
2013-09-01,57419780.0
