Tarih,TP_PBD_H17
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,261306414.8
2006-01-01,256656712.6
2006-02-01,261671862.0
2006-03-01,270638357.5
2006-04-01,276085569.0
2006-05-01,300653985.1
2006-06-01,302530958.2
2006-07-01,293354085.1
2006-08-01,296246876.1
2006-09-01,303201993.4
2006-10-01,304583665.7
2006-11-01,310095053.1
2006-12-01,319366193.2
2007-01-01,319598670.7
2007-02-01,321707692.38
2007-03-01,326821469.72
2007-04-01,332414752.69
2007-05-01,337816381.56
2007-06-01,344520198.43
2007-07-01,348345365.4
2007-08-01,354080444.5
2007-09-01,351260670.55
2007-10-01,353130364.0
2007-11-01,357246761.0
2007-12-01,368167280.0
2008-01-01,368827935.0
2008-02-01,375189949.0
2008-03-01,397283672.0
2008-04-01,399529469.0
2008-05-01,394044965.0
2008-06-01,402038643.0
2008-07-01,404068229.0
2008-08-01,404567986.0
2008-09-01,422930945.0
2008-10-01,439409798.0
2008-11-01,447242672.0
2008-12-01,458630126.0
2009-01-01,460108653.0
2009-02-01,469678543.0
2009-03-01,472682172.0
2009-04-01,466585037.0
2009-05-01,470549958.0
2009-06-01,474889838.0
2009-07-01,476345388.0
2009-08-01,481729177.0
2009-09-01,492262335.0
2009-10-01,497202525.0
2009-11-01,510145303.0
2009-12-01,518279350.0
2010-01-01,517503716.0
2010-02-01,526767265.0
2010-03-01,533101085.0
2010-04-01,531832054.0
2010-05-01,540942817.0
2010-06-01,556808329.0
2010-07-01,557782752.0
2010-08-01,562175208.0
2010-09-01,571779158.0
2010-10-01,578865131.0
2010-11-01,586143583.0
2010-12-01,615102828.0
2011-01-01,614625609.0
2011-02-01,630113724.0
2011-03-01,642447456.0
2011-04-01,648467283.0
2011-05-01,663318888.0
2011-06-01,673025981.0
2011-07-01,682453069.0
2011-08-01,695943171.0
2011-09-01,697956594.0
2011-10-01,691395895.0
2011-11-01,695539739.0
2011-12-01,708614703.0
2012-01-01,695567825.0
2012-02-01,699852754.0
2012-03-01,708334025.0
2012-04-01,713767780.0
2012-05-01,722481076.0
2012-06-01,734741831.0
2012-07-01,735889200.0
2012-08-01,745487936.0
2012-09-01,758687703.0
2012-10-01,765678367.0
2012-11-01,763843058.0
2012-12-01,783144253.0
2013-01-01,784371352.0
2013-02-01,793511787.0
2013-03-01,805412829.0
2013-04-01,814125928.0
2013-05-01,834358613.0
2013-06-01,849103638.0
2013-07-01,869091833.0
2013-08-01,888378269.0
2013-09-01,902141243.0
