Tarih,TP_PBD_H03
2000-01-01,2801618.0
2000-02-01,2851390.0
2000-03-01,2957141.0
2000-04-01,2992314.0
2000-05-01,3394631.0
2000-06-01,3439481.0
2000-07-01,3974870.0
2000-08-01,3766907.0
2000-09-01,3777746.0
2000-10-01,3977976.0
2000-11-01,4091476.0
2000-12-01,4352301.0
2001-01-01,4350594.0
2001-02-01,5267954.0
2001-03-01,5115811.0
2001-04-01,5395851.0
2001-05-01,5546441.0
2001-06-01,5801403.0
2001-07-01,6237334.0
2001-08-01,6456021.0
2001-09-01,5759932.0
2001-10-01,6146651.0
2001-11-01,5937854.0
2001-12-01,6905869.0
2002-01-01,6157161.0
2002-02-01,6949719.0
2002-03-01,6155924.0
2002-04-01,6468957.0
2002-05-01,6661312.0
2002-06-01,6861900.0
2002-07-01,7514393.0
2002-08-01,7042823.0
2002-09-01,8144924.0
2002-10-01,8313790.0
2002-11-01,7548297.0
2002-12-01,8928269.0
2003-01-01,7579528.0
2003-02-01,7612823.0
2003-03-01,7577268.0
2003-04-01,7617687.0
2003-05-01,7561667.0
2003-06-01,9310018.0
2003-07-01,9412683.0
2003-08-01,9141515.0
2003-09-01,10754215.0
2003-10-01,10779865.0
2003-11-01,10497159.0
2003-12-01,13239221.0
2004-01-01,11648675.0
2004-02-01,11153728.0
2004-03-01,12182654.0
2004-04-01,12471526.0
2004-05-01,12771368.0
2004-06-01,13952404.0
2004-07-01,13500967.0
2004-08-01,14782536.0
2004-09-01,14944747.0
2004-10-01,14480355.0
2004-11-01,15235178.0
2004-12-01,16349864.0
2005-01-01,14569799.0
2005-02-01,15523827.0
2005-03-01,16046985.0
2005-04-01,16390954.0
2005-05-01,16626767.0
2005-06-01,18482050.0
2005-07-01,17770314.0
2005-08-01,18485233.0
2005-09-01,19199530.0
2005-10-01,19877170.0
2005-11-01,19623261.0
2005-12-01,25275958.1
2006-01-01,21017848.2
2006-02-01,21848109.3
2006-03-01,22960462.9
2006-04-01,22735812.9
2006-05-01,24931104.5
2006-06-01,25631056.3
2006-07-01,23909094.0
2006-08-01,24302392.8
2006-09-01,24541591.3
2006-10-01,23464213.0
2006-11-01,22957417.1
2006-12-01,24522090.4
2007-01-01,22308241.3
2007-02-01,22690597.7
2007-03-01,21938407.3
2007-04-01,23502374.4
2007-05-01,24293889.5
