Tarih,TP_PBD_G01
2000-01-01,6255413.0
2000-02-01,5958910.0
2000-03-01,6519396.0
2000-04-01,5958567.0
2000-05-01,6005235.0
2000-06-01,6680863.0
2000-07-01,7702043.0
2000-08-01,6462035.0
2000-09-01,6574186.0
2000-10-01,6558720.0
2000-11-01,3001130.0
2000-12-01,2473862.0
2001-01-01,3418449.0
2001-02-01,1106034.0
2001-03-01,610185.0
2001-04-01,-1117120.0
2001-05-01,-105193.0
2001-06-01,-1863471.0
2001-07-01,-2660067.0
2001-08-01,-2516602.0
2001-09-01,-2912903.0
2001-10-01,-4573112.0
2001-11-01,-4307066.0
2001-12-01,-2305543.0
2002-01-01,-2159123.0
2002-02-01,-4811099.0
2002-03-01,-5440047.0
2002-04-01,-5836593.0
2002-05-01,-7575642.0
2002-06-01,-11734418.0
2002-07-01,-11069248.0
2002-08-01,-9198679.0
2002-09-01,-8556884.0
2002-10-01,-8141823.0
2002-11-01,-6359052.0
2002-12-01,-6951193.0
2003-01-01,-6852293.0
2003-02-01,-10408886.0
2003-03-01,-16139138.0
2003-04-01,-15121118.0
2003-05-01,-11930577.0
2003-06-01,-10418694.0
2003-07-01,-9961280.0
2003-08-01,-6780455.0
2003-09-01,-5279230.0
2003-10-01,-5643492.0
2003-11-01,-6741668.0
2003-12-01,-7605236.0
2004-01-01,-7160067.0
2004-02-01,-8363429.0
2004-03-01,-8058665.0
2004-04-01,-8515873.0
2004-05-01,-9090776.0
2004-06-01,-7876169.0
2004-07-01,-5666135.0
2004-08-01,-4525540.0
2004-09-01,-3422379.0
2004-10-01,-2628965.0
2004-11-01,-3053556.0
2004-12-01,-1177089.0
2005-01-01,770024.0
2005-02-01,1222082.0
2005-03-01,-933281.0
2005-04-01,-1157430.0
2005-05-01,-61394.0
2005-06-01,4403403.0
2005-07-01,7097940.0
2005-08-01,7915927.0
2005-09-01,9623476.0
2005-10-01,7948569.0
2005-11-01,14826580.0
2005-12-01,13231131.51
2006-01-01,18530376.88
2006-02-01,19668053.07
2006-03-01,18990078.12
2006-04-01,15367503.31
2006-05-01,22860783.24
2006-06-01,24093017.39
2006-07-01,23600336.11
2006-08-01,29448237.78
2006-09-01,29997526.99
2006-10-01,33583009.36
2006-11-01,38632604.62
2006-12-01,40273574.71
2007-01-01,45819032.18
2007-02-01,48997945.16
2007-03-01,52072209.55
2007-04-01,53083189.1
2007-05-01,56200099.95
2007-06-01,55270779.35
2007-07-01,57609592.3
2007-08-01,58477309.97
2007-09-01,53026882.59
2007-10-01,50246507.0
2007-11-01,48875971.0
2007-12-01,49930628.0
2008-01-01,50155529.0
2008-02-01,51160669.0
2008-03-01,56634400.0
2008-04-01,51454194.0
2008-05-01,50599665.0
2008-06-01,53323893.0
2008-07-01,52277230.0
2008-08-01,51033298.0
2008-09-01,52334425.0
2008-10-01,66678033.0
2008-11-01,70728809.0
2008-12-01,73615157.0
2009-01-01,79712636.0
2009-02-01,85200616.0
2009-03-01,84844154.0
2009-04-01,79911532.0
2009-05-01,81056217.0
2009-06-01,76632689.0
2009-07-01,76538817.0
2009-08-01,80511612.0
2009-09-01,74028381.0
2009-10-01,73661794.0
2009-11-01,72250534.0
2009-12-01,68191000.0
2010-01-01,65120203.0
2010-02-01,59813717.0
2010-03-01,54645262.0
2010-04-01,49606466.0
2010-05-01,50709991.0
2010-06-01,44027801.0
2010-07-01,43469732.0
2010-08-01,49215273.0
2010-09-01,40358881.0
2010-10-01,37483504.0
2010-11-01,34344620.0
2010-12-01,29271602.0
2011-01-01,30129443.0
2011-02-01,36961480.0
2011-03-01,38308527.0
2011-04-01,33470808.0
2011-05-01,34071727.0
2011-06-01,34980781.0
2011-07-01,37939807.0
2011-08-01,35788531.0
2011-09-01,33906471.0
2011-10-01,28402383.0
2011-11-01,29304885.0
2011-12-01,32706447.0
2012-01-01,26040040.0
2012-02-01,20619556.0
2012-03-01,20948395.0
2012-04-01,12547247.0
2012-05-01,8962734.0
2012-06-01,13584888.0
2012-07-01,21578733.0
2012-08-01,29345011.0
2012-09-01,34583118.0
2012-10-01,38981310.0
2012-11-01,40648839.0
2012-12-01,42715887.0
2013-01-01,39295241.0
2013-02-01,36248762.0
2013-03-01,28573296.0
2013-04-01,30227833.0
2013-05-01,21849673.0
2013-06-01,6112748.0
2013-07-01,6050059.0
2013-08-01,19246086.0
2013-09-01,14162412.0
2013-10-01,13128609.0
2013-11-01,6603180.0
2013-12-01,-3754127.0
2014-01-01,-4524340.0
2014-02-01,-3961460.0
2014-03-01,-10051560.0
2014-04-01,-17114934.0
2014-05-01,-20496994.0
2014-06-01,-13951567.0
2014-07-01,-12547214.0
2014-08-01,-11962050.0
2014-09-01,-18620236.0
2014-10-01,-25648273.0
2014-11-01,-32427033.0
2014-12-01,-41373176.0
2015-01-01,-41591950.0
2015-02-01,-38136779.0
2015-03-01,-51038469.0
2015-04-01,-53772241.0
2015-05-01,-54550051.0
2015-06-01,-60912667.0
2015-07-01,-59984714.0
2015-08-01,-47617891.0
2015-09-01,-47484031.0
2015-10-01,-49653477.0
2015-11-01,-48220906.0
2015-12-01,-65754255.0
2016-01-01,-67676554.0
2016-02-01,-67934039.0
2016-03-01,-51955370.0
2016-04-01,-50042079.0
2016-05-01,-41921261.0
2016-06-01,-43968270.0
2016-07-01,-39099144.0
2016-08-01,-31952715.0
2016-09-01,-40662580.0
2016-10-01,-38489800.0
2016-11-01,-38401374.0
2016-12-01,-42347567.0
2017-01-01,-57795752.0
2017-02-01,-72201298.0
2017-03-01,-80732139.0
2017-04-01,-90775545.0
2017-05-01,-80882046.0
2017-06-01,-85809037.0
2017-07-01,-86906341.0
2017-08-01,-79122441.0
2017-09-01,-65445589.0
2017-10-01,-47428854.0
2017-11-01,-59623456.0
2017-12-01,-79567653.0
2018-01-01,-80165095.0
2018-02-01,-82344489.0
2018-03-01,-98877615.0
2018-04-01,-106640362.0
2018-05-01,-110137478.0
2018-06-01,-126642281.0
2018-07-01,-111972891.0
2018-08-01,-110685832.0
2018-09-01,-73136884.0
2018-10-01,-41137840.0
2018-11-01,-29607159.0
2018-12-01,-3219229.0
2019-01-01,23836075.0
2019-02-01,43609820.0
2019-03-01,21849899.0
2019-04-01,64471321.0
2019-05-01,67522074.0
2019-06-01,61148589.0
2019-07-01,91878053.0
2019-08-01,125822203.0
2019-09-01,137232186.0
2019-10-01,152041943.0
2019-11-01,161424496.0
2019-12-01,187778488.0
2020-01-01,175885829.0
2020-02-01,192556513.0
2020-03-01,129342943.0
2020-04-01,111809164.0
2020-05-01,120529120.0
2020-06-01,104592162.0
2020-07-01,82132928.0
2020-08-01,53223892.0
2020-09-01,39775752.0
2020-10-01,42277355.0
2020-11-01,47161378.0
2020-12-01,84770994.0
2021-01-01,128797442.0
2021-02-01,93868608.0
2021-03-01,126142804.0
2021-04-01,117529060.0
2021-05-01,188657002.0
2021-06-01,250283705.0
2021-07-01,309009340.0
2021-08-01,356502753.0
2021-09-01,420583436.0
2021-10-01,493257376.0
2021-11-01,672043723.0
2021-12-01,588370737.0
2022-01-01,571896503.0
2022-02-01,606160023.0
2022-03-01,595607832.0
2022-04-01,580013110.0
2022-05-01,626030324.0
2022-06-01,632628259.0
2022-07-01,785295898.0
2022-08-01,913351662.0
2022-09-01,904068406.0
2022-10-01,953259581.0
2022-11-01,989993812.0
2022-12-01,1017864600.0
2023-01-01,958138293.0
2023-02-01,764156291.0
2023-03-01,663891328.0
2023-04-01,474520904.0
2023-05-01,150515353.0
2023-06-01,466682114.0
2023-07-01,614452876.0
2023-08-01,719995389.0
2023-09-01,712514270.0
2023-10-01,773339360.0
2023-11-01,955346758.0
2023-12-01,1061263363.0
2024-01-01,874164081.0
2024-02-01,708944842.0
2024-03-01,441026862.0
2024-04-01,537009418.0
2024-05-01,933189155.0
2024-06-01,998594621.0
2024-07-01,1228312821.0
2024-08-01,1340623907.0
2024-09-01,1405669765.0
2024-10-01,1567306491.0
2024-11-01,1416610443.0
2024-12-01,1231225963.0
2025-01-01,1405425272.0
2025-02-01,1430935028.0
2025-03-01,1411846722.0
2025-04-01,840953137.0
2025-05-01,912759744.0
2025-06-01,827246108.0
2025-07-01,1287078976.0
2025-08-01,1403093878.0
