Tarih,TP_PBD_D14
2000-01-01,-2250144.3
2000-02-01,-1985104.9
2000-03-01,-1464167.8
2000-04-01,-1445335.6
2000-05-01,-1311509.8
2000-06-01,-2054089.5
2000-07-01,-3095888.6
2000-08-01,-1634850.5
2000-09-01,-1821149.8
2000-10-01,-1704934.1
2000-11-01,-2548038.8
2000-12-01,-1478483.22
2001-01-01,-2017447.1
2001-02-01,-1768089.6
2001-03-01,-2829067.7
2001-04-01,-2883103.4
2001-05-01,-3566373.7
2001-06-01,-2392707.2
2001-07-01,-4599393.1
2001-08-01,-5750068.6
2001-09-01,-5010559.7
2001-10-01,-3045508.0
2001-11-01,-5986239.4
2001-12-01,-3473118.07
2002-01-01,-3510747.3
2002-02-01,-3940288.4
2002-03-01,-3807357.5
2002-04-01,-6270820.6
2002-05-01,-5301079.3
2002-06-01,-4505234.6
2002-07-01,-6358835.4
2002-08-01,-10202112.2
2002-09-01,-8401519.8
2002-10-01,-9039149.9
2002-11-01,-8472388.5
2002-12-01,-5799917.17
2003-01-01,-8364016.8
2003-02-01,-7258427.8
2003-03-01,-5056392.8
2003-04-01,-7416980.1
2003-05-01,-6720446.8
2003-06-01,-6540443.7
2003-07-01,-5188090.4
2003-08-01,-6797316.7
2003-09-01,-7129835.6
2003-10-01,-6491069.0
2003-11-01,-7195025.7
2003-12-01,-7424831.95
2004-01-01,-8208468.6
2004-02-01,-5930011.25
2004-03-01,-7034199.5
2004-04-01,-7964218.3
2004-05-01,-10279655.8
2004-06-01,-7624378.6
2004-07-01,-8660155.1
2004-08-01,-9935478.0
2004-09-01,-9389436.6
2004-10-01,-9528851.8
2004-11-01,-12216798.1
2004-12-01,-6900617.39
2005-01-01,-12187559.2
2005-02-01,-11745917.6
2005-03-01,-11544186.7
2005-04-01,-10335094.0
2005-05-01,-11285929.5
2005-06-01,-13059720.4
2005-07-01,-12592493.4
2005-08-01,-13455547.9
2005-09-01,-15246966.9
2005-10-01,-13055469.1
2005-11-01,-15912369.5
2005-12-01,-14409341.98
2006-01-01,-20742522.6
2006-02-01,-15917482.7
2006-03-01,-16732262.3
2006-04-01,-16434376.4
2006-05-01,-18489998.0
2006-06-01,-19229374.7
2006-07-01,-23445056.2
2006-08-01,-25323823.8
2006-09-01,-21078508.8
2006-10-01,-20406255.7
2006-11-01,-24099507.8
2006-12-01,-19617726.79
2007-01-01,-24164472.0
2007-02-01,-26673070.6
2007-03-01,-30686628.0
2007-04-01,-25421365.5
2007-05-01,-25991301.1
2007-06-01,-21881071.0
2007-07-01,-19650946.9
2007-08-01,-26072209.8
2007-09-01,-20012334.3
2007-10-01,-17593787.0
2007-11-01,-20543392.0
2007-12-01,-15965635.0
2008-01-01,-19407296.0
2008-02-01,-22545134.0
2008-03-01,-19391599.0
2008-04-01,-16836082.0
2008-05-01,-23741997.0
2008-06-01,-21778219.0
2008-07-01,-17565553.0
2008-08-01,-28509254.0
2008-09-01,-19662358.0
2008-10-01,-26012465.0
2008-11-01,-25027733.0
2008-12-01,-15950548.0
2009-01-01,-19576968.0
2009-02-01,-17134198.0
2009-03-01,-13877672.0
2009-04-01,-19084424.0
2009-05-01,-25167939.0
2009-06-01,-19941609.0
2009-07-01,-17120207.0
2009-08-01,-27678906.0
2009-09-01,-20657458.0
2009-10-01,-27625341.0
2009-11-01,-23982882.0
2009-12-01,-21555380.0
2010-01-01,-27353844.0
2010-02-01,-23512104.0
2010-03-01,-21423972.0
2010-04-01,-24490672.0
2010-05-01,-27701151.0
2010-06-01,-17231990.0
2010-07-01,-18676094.0
2010-08-01,-30345670.0
2010-09-01,-23400011.0
2010-10-01,-15334877.0
2010-11-01,-24710250.0
2010-12-01,-14159729.0
2011-01-01,-15047754.0
2011-02-01,-13405826.0
2011-03-01,-15886104.0
2011-04-01,-18621915.0
2011-05-01,-22205885.0
2011-06-01,-21751591.0
2011-07-01,-22082664.0
2011-08-01,-23970435.0
2011-09-01,-25963706.0
2011-10-01,-26686690.0
2011-11-01,-20557249.0
2011-12-01,-17520745.0
2012-01-01,-21348145.0
2012-02-01,-18855459.0
2012-03-01,-18212919.0
2012-04-01,-13071541.0
2012-05-01,-23477276.0
2012-06-01,-21669021.0
2012-07-01,-10770639.0
2012-08-01,-25557108.0
2012-09-01,-23796994.0
2012-10-01,-17188382.0
2012-11-01,-26959318.0
2012-12-01,-16830630.0
2013-01-01,-21490133.0
2013-02-01,-16676200.0
2013-03-01,-18291406.0
