Tarih,TP_PBD_F06
2000-01-01,37716142.7
2000-02-01,37966380.4
2000-03-01,39339408.6
2000-04-01,40660783.4
2000-05-01,41465387.8
2000-06-01,43029099.0
2000-07-01,45065057.8
2000-08-01,45511893.8
2000-09-01,46949006.8
2000-10-01,48101132.3
2000-11-01,49059350.5
2000-12-01,49939439.51
2001-01-01,51544448.5
2001-02-01,57719248.8
2001-03-01,64928112.6
2001-04-01,67896957.9
2001-05-01,69472942.3
2001-06-01,76040559.2
2001-07-01,77474881.6
2001-08-01,83433865.7
2001-09-01,92054480.5
2001-10-01,96736805.2
2001-11-01,94384274.8
2001-12-01,96037751.74
2002-01-01,89831918.4
2002-02-01,98402077.4
2002-03-01,98412514.4
2002-04-01,100019493.3
2002-05-01,105396533.5
2002-06-01,111590244.8
2002-07-01,117457874.0
2002-08-01,115740694.6
2002-09-01,118380577.3
2002-10-01,120244218.1
2002-11-01,117235359.5
2002-12-01,123026321.57
2003-01-01,123713786.2
2003-02-01,122831733.8
2003-03-01,124422097.1
2003-04-01,119203052.4
2003-05-01,117584965.0
2003-06-01,118686120.0
2003-07-01,120528612.3
2003-08-01,121370043.3
2003-09-01,123252839.8
2003-10-01,129952513.9
2003-11-01,134293007.5
2003-12-01,136707323.35
2004-01-01,138649452.2
2004-02-01,137779818.7
2004-03-01,139251140.2
2004-04-01,142950576.1
2004-05-01,148915678.9
2004-06-01,148368328.9
2004-07-01,150571070.6
2004-08-01,155509039.6
2004-09-01,159809035.2
2004-10-01,162319900.4
2004-11-01,165476079.2
2004-12-01,165965627.92
2005-01-01,162167123.2
2005-02-01,161606488.3
2005-03-01,166799505.6
2005-04-01,172509835.6
2005-05-01,173653345.5
2005-06-01,176152492.3
2005-07-01,178998709.0
2005-08-01,185833363.4
2005-09-01,191316930.6
2005-10-01,191418787.6
2005-11-01,194045383.4
2005-12-01,223528842.35
2006-01-01,224742840.95
2006-02-01,230449034.0
2006-03-01,237070475.69
2006-04-01,240858183.87
2006-05-01,264151220.46
2006-06-01,264992386.57
2006-07-01,258398722.01
2006-08-01,260388862.27
2006-09-01,264759997.91
2006-10-01,268613931.28
2006-11-01,276467374.03
2006-12-01,279379572.1
2007-01-01,287221969.4
2007-02-01,290215707.78
2007-03-01,294776371.72
2007-04-01,300322908.99
2007-05-01,303278796.16
2007-06-01,307349294.73
2007-07-01,312820051.5
2007-08-01,318751917.8
2007-09-01,313449969.65
2007-10-01,316662735.0
2007-11-01,320984854.0
2007-12-01,329410604.0
2008-01-01,331063584.0
2008-02-01,336118255.0
2008-03-01,359472306.0
2008-04-01,360246962.0
2008-05-01,354746267.0
2008-06-01,363897394.0
2008-07-01,363468482.0
2008-08-01,361572497.0
2008-09-01,371744964.0
2008-10-01,394340683.0
2008-11-01,400775605.0
2008-12-01,411223176.0
2009-01-01,415207029.0
2009-02-01,418751729.0
2009-03-01,423600661.0
2009-04-01,419216753.0
2009-05-01,420146969.0
2009-06-01,426662065.0
2009-07-01,426575557.0
2009-08-01,433995786.0
2009-09-01,438583677.0
2009-10-01,443317173.0
2009-11-01,446321594.0
2009-12-01,457315664.0
2010-01-01,459057478.0
2010-02-01,465512813.0
2010-03-01,472227633.0
2010-04-01,473325975.0
2010-05-01,481425685.0
2010-06-01,491514791.0
2010-07-01,492362503.0
2010-08-01,499027176.0
2010-09-01,505050909.0
2010-10-01,504378131.0
2010-11-01,517765748.0
2010-12-01,534091946.0
2011-01-01,541355390.0
2011-02-01,557308930.0
2011-03-01,562740078.0
2011-04-01,563305746.0
2011-05-01,579939458.0
2011-06-01,587783009.0
2011-07-01,592033256.0
2011-08-01,596596912.0
2011-09-01,614357185.0
2011-10-01,611350705.0
2011-11-01,615704439.0
2011-12-01,621060277.0
2012-01-01,617555893.0
2012-02-01,621380409.0
2012-03-01,630008906.0
2012-04-01,639799996.0
2012-05-01,642801404.0
2012-06-01,644565237.0
2012-07-01,657846369.0
2012-08-01,663135837.0
2012-09-01,664049723.0
2012-10-01,676578489.0
2012-11-01,681239884.0
2012-12-01,694570067.0
2013-01-01,696547255.0
2013-02-01,705264880.0
2013-03-01,706149746.0
2013-04-01,723588820.0
2013-05-01,734190846.0
2013-06-01,732889474.0
2013-07-01,763398081.0
2013-08-01,767942488.0
2013-09-01,791530287.0
2013-10-01,792453068.0
2013-11-01,796521446.0
2013-12-01,824679584.0
2014-01-01,848264479.0
2014-02-01,851162414.0
2014-03-01,851466385.0
2014-04-01,856552354.0
2014-05-01,850888355.0
2014-06-01,866561275.0
2014-07-01,883906460.0
2014-08-01,875513398.0
2014-09-01,905028138.0
2014-10-01,898965114.0
2014-11-01,900693777.0
2014-12-01,921674489.0
2015-01-01,931795230.0
2015-02-01,948056511.0
2015-03-01,974399083.0
2015-04-01,1000949737.0
2015-05-01,1000912635.0
2015-06-01,1020064462.0
2015-07-01,1045639397.0
2015-08-01,1067935890.0
2015-09-01,1091024226.0
2015-10-01,1077759792.0
2015-11-01,1075479799.0
2015-12-01,1070191289.0
2016-01-01,1074535260.0
2016-02-01,1093465673.0
2016-03-01,1105474382.0
2016-04-01,1097542238.0
2016-05-01,1121781451.0
2016-06-01,1124104135.0
2016-07-01,1125595828.0
2016-08-01,1140890731.0
2016-09-01,1156712767.0
2016-10-01,1182425089.0
2016-11-01,1228983408.0
2016-12-01,1244855758.0
2017-01-01,1279465648.0
2017-02-01,1264277958.0
2017-03-01,1282551848.0
2017-04-01,1295359803.0
2017-05-01,1324150926.0
2017-06-01,1346128464.0
2017-07-01,1357164887.0
2017-08-01,1356989133.0
2017-09-01,1382838704.0
2017-10-01,1437324611.0
2017-11-01,1469599693.0
2017-12-01,1453055380.0
2018-01-01,1466232866.0
2018-02-01,1482799893.0
2018-03-01,1513603244.0
2018-04-01,1560772423.0
2018-05-01,1626465168.0
2018-06-01,1621639395.0
2018-07-01,1689289065.0
2018-08-01,1908472036.0
2018-09-01,1837923998.0
2018-10-01,1791820875.0
2018-11-01,1751478793.0
2018-12-01,1793231919.0
2019-01-01,1808257872.0
2019-02-01,1855078734.0
2019-03-01,1953288902.0
2019-04-01,2031515039.0
2019-05-01,2026449846.0
2019-06-01,2019820985.0
2019-07-01,2014782758.0
2019-08-01,2081904570.0
2019-09-01,2102679472.0
2019-10-01,2149377911.0
2019-11-01,2173661197.0
2019-12-01,2251735105.0
2020-01-01,2267048172.0
2020-02-01,2350262158.0
2020-03-01,2439367450.0
2020-04-01,2588415072.0
2020-05-01,2589744555.0
2020-06-01,2648441516.0
2020-07-01,2749003760.0
2020-08-01,2863659305.0
2020-09-01,2955973838.0
2020-10-01,3104848749.0
2020-11-01,3055062417.0
2020-12-01,3064069550.0
2021-01-01,3047648814.0
2021-02-01,3065105990.0
2021-03-01,3249287826.0
2021-04-01,3290212590.0
2021-05-01,3377209323.0
2021-06-01,3449687963.0
2021-07-01,3472016974.0
2021-08-01,3511398444.0
