Tarih,TP_PBD_D09
2000-01-01,17545711.7
2000-02-01,17332003.1
2000-03-01,18131400.3
2000-04-01,19152263.7
2000-05-01,18171798.0
2000-06-01,18259977.1
2000-07-01,17810754.5
2000-08-01,18805115.7
2000-09-01,19059381.3
2000-10-01,18529961.9
2000-11-01,21038737.0
2000-12-01,29590837.77
2001-01-01,27836712.8
2001-02-01,31658155.6
2001-03-01,37357606.1
2001-04-01,43051112.2
2001-05-01,53922832.6
2001-06-01,60948196.0
2001-07-01,63313563.4
2001-08-01,69367858.2
2001-09-01,76424190.0
2001-10-01,82704180.3
2001-11-01,82641092.7
2001-12-01,86957668.08
2002-01-01,83959464.05
2002-02-01,94526864.79
2002-03-01,97168378.03
2002-04-01,97639065.99
2002-05-01,98371558.9
2002-06-01,106392437.2
2002-07-01,108338991.5
2002-08-01,108294384.7
2002-09-01,111444887.4
2002-10-01,113638997.5
2002-11-01,110158922.0
2002-12-01,117839678.12
2003-01-01,116789636.1
2003-02-01,120627422.8
2003-03-01,124602983.3
2003-04-01,121195146.6
2003-05-01,118706993.2
2003-06-01,120686580.2
2003-07-01,120525631.5
2003-08-01,118448758.1
2003-09-01,117838172.9
2003-10-01,123484185.1
2003-11-01,128865056.3
2003-12-01,130827072.14
2004-01-01,135905121.2
2004-02-01,133530762.84
2004-03-01,132708391.4
2004-04-01,133215092.6
2004-05-01,134246777.6
2004-06-01,130568718.3
2004-07-01,131405267.4
2004-08-01,133194206.0
2004-09-01,135785934.7
2004-10-01,139487266.1
2004-11-01,141674784.6
2004-12-01,141294395.7
2005-01-01,135457476.4
2005-02-01,133986134.1
2005-03-01,138360992.5
2005-04-01,142764329.0
2005-05-01,137408089.1
2005-06-01,135015028.4
2005-07-01,134882518.8
2005-08-01,137199442.1
2005-09-01,139191047.1
2005-10-01,141466552.3
2005-11-01,136219529.0
2005-12-01,158803609.05
2006-01-01,151957750.35
2006-02-01,154006911.4
2006-03-01,156203707.29
2006-04-01,159401017.77
2006-05-01,157318459.66
2006-06-01,153992036.47
2006-07-01,146648394.71
2006-08-01,146099725.07
2006-09-01,147967913.89
2006-10-01,148531179.28
2006-11-01,145869605.53
2006-12-01,150145527.05
2007-01-01,147630254.3
2007-02-01,145561456.68
2007-03-01,145423012.82
2007-04-01,144123844.59
2007-05-01,141835237.36
2007-06-01,146153664.13
2007-07-01,144769377.4
2007-08-01,146460079.7
2007-09-01,150992225.25
2007-10-01,152640220.0
2007-11-01,151779899.0
2007-12-01,156312432.0
2008-01-01,151215652.0
2008-02-01,149138575.0
