Tarih,TP_PBD_D06,TP_PBD_F04
2000-01-01,,18592.2
2000-01-02,-6775170.1,
2000-01-03,-6885044.4,
2000-01-04,-6892609.6,
2000-01-05,-7275976.0,
2000-01-06,-7496261.0,
2000-01-07,-7712282.4,
2000-01-08,-7743526.2,
2000-01-09,-7817938.2,
2000-01-10,-7774347.9,
2000-01-11,-7992990.3,
2000-01-12,-10251749.84,
2000-02-01,,22136.1
2000-03-01,,19916.0
2000-04-01,,21405.7
2000-05-01,,22023.2
2000-06-01,,20258.7
2000-07-01,,21360.9
2000-08-01,,24535.0
2000-09-01,,19594.8
2000-10-01,,21237.5
2000-11-01,,23334.8
2000-12-01,,22597.33
2001-01-01,-10331010.5,
2001-01-02,-14941748.9,
2001-01-03,-16879252.2,
2001-01-04,-18848409.6,
2001-01-05,-22501562.0,
2001-01-06,-24490870.3,
2001-01-07,-28116391.6,
2001-01-08,-32308794.1,
2001-01-09,-36511890.4,
2001-01-10,-37625689.4,
2001-01-11,-34924007.8,
2001-01-12,-36575672.11,
2001-02-01,,41812.9
2001-03-01,,69813.0
2001-04-01,,22414.9
2001-05-01,,30896.6
2001-06-01,,24315.6
2001-07-01,,29148.3
2001-08-01,,37355.0
2001-09-01,,357717.0
2001-10-01,,28105.4
2001-11-01,,43208.7
2001-12-01,,37983.76
2002-01-01,,32455.8
2002-01-02,-39684717.69,
2002-01-03,-38127169.73,
2002-01-04,-40652625.79,
2002-01-05,-44279617.4,
2002-01-06,-51977866.7,
2002-01-07,-56939413.9,
2002-01-08,-57330015.3,
2002-01-09,-58112785.4,
2002-01-10,-59148800.8,
2002-01-11,-55039748.7,
2002-01-12,-60256946.45,
2002-02-01,,39782.5
2002-03-01,,30362.6
2002-04-01,,22156.8
2002-05-01,,28101.3
2002-06-01,,56108.5
2002-07-01,,42588.6
2002-08-01,,49152.8
2002-09-01,,46544.4
2002-10-01,,39736.4
2002-11-01,,54956.5
2002-12-01,,55278.7
2003-01-01,-61665201.8,
2003-01-02,-60301720.8,
2003-01-03,-63681733.6,
2003-01-04,-60823660.1,
2003-01-05,-57452918.4,
2003-01-06,-55909298.9,
2003-01-07,-55963267.6,
2003-01-08,-53901300.2,
2003-01-09,-54926109.9,
2003-01-10,-60302663.1,
2003-01-11,-59208212.4,
2003-01-12,-58939822.77,
2003-02-01,,49184.9
2003-03-01,,49358.0
2003-04-01,,37488.7
2003-05-01,,34219.4
2003-06-01,,42214.6
2003-07-01,,39352.1
2003-08-01,,54537.8
2003-09-01,,48584.8
2003-10-01,,54666.7
2003-11-01,,48750.9
2003-12-01,,60993.6
2004-01-01,-56052157.4,
2004-01-02,-54830499.2,
2004-01-03,-53087213.3,
2004-01-04,-57217741.8,
2004-01-05,-59694263.8,
2004-01-06,-58826729.3,
2004-01-07,-57427783.1,
2004-01-08,-59138351.0,
2004-01-09,-58996863.1,
2004-01-10,-59001977.2,
2004-01-11,-57849159.9,
2004-01-12,-55222018.31,
2004-02-01,,58981.2
2004-03-01,,56489.0
2004-04-01,,64855.1
2004-05-01,,108403.1
2004-06-01,,65815.6
2004-07-01,,78606.0
2004-08-01,,96767.9
2004-09-01,,87084.8
2004-10-01,,94349.4
2004-11-01,,85560.8
2004-12-01,,170558.4
