Tarih,TP_PBD_D12,TP_PBD_F09
2000-01-01,,18387434.0
2000-01-02,22710038.9,
2000-01-03,23076933.1,
2000-01-04,24218401.9,
2000-01-05,23575816.0,
2000-01-06,24356654.6,
2000-01-07,25158883.0,
2000-01-08,24775754.0,
2000-01-09,25318597.1,
2000-01-10,25349235.9,
2000-01-11,28844275.9,
2000-01-12,35251297.4,
2000-02-01,,17530708.0
2000-03-01,,17917435.0
2000-04-01,,18420083.0
2000-05-01,,17878483.0
2000-06-01,,19109738.0
2000-07-01,,20578043.0
2000-08-01,,20068157.0
2000-09-01,,20393028.0
2000-10-01,,21101376.0
2000-11-01,,22292518.0
2000-12-01,,24519296.0
2001-01-01,34438582.9,
2001-01-02,37503427.2,
2001-01-03,44439126.9,
2001-01-04,48159238.9,
2001-01-05,47497475.0,
2001-01-06,49696976.0,
2001-01-07,50748379.0,
2001-01-08,56444300.0,
2001-01-09,59970711.1,
2001-01-10,62181175.0,
2001-01-11,61004381.9,
2001-01-12,62069904.9,
2001-02-01,,27406387.0
2001-03-01,,30671719.0
2001-04-01,,30784528.0
2001-05-01,,30692190.0
2001-06-01,,31194505.0
2001-07-01,,28981824.0
2001-08-01,,31074208.0
2001-09-01,,32193070.0
2001-10-01,,33029231.0
2001-11-01,,34012632.0
2001-12-01,,35910439.0
2002-01-01,,36113336.0
2002-01-02,64936509.0,
2002-01-03,66010280.0,
2002-01-04,67070864.0,
2002-01-05,68349854.0,
2002-01-06,71821087.0,
2002-01-07,73856484.0,
2002-01-08,76228515.0,
2002-01-09,77793820.0,
2002-01-10,79443174.0,
2002-01-11,76897162.0,
2002-01-12,80302967.0,
2002-02-01,,36813863.0
2002-03-01,,38470458.0
2002-04-01,,40124473.0
2002-05-01,,40727045.0
2002-06-01,,41183697.0
2002-07-01,,41614877.0
2002-08-01,,41468442.0
2002-09-01,,43061356.0
2002-10-01,,44634760.0
2002-11-01,,44987415.0
2002-12-01,,46068719.0
2003-01-01,82177458.0,
2003-01-02,84788230.0,
2003-01-03,84278402.0,
2003-01-04,84586847.0,
2003-01-05,85198411.0,
2003-01-06,87852119.0,
2003-01-07,87807021.0,
2003-01-08,87629107.0,
2003-01-09,88677111.0,
2003-01-10,91630777.0,
2003-01-11,97041382.0,
2003-01-12,99960100.0,
2003-02-01,,46856391.0
2003-03-01,,49403132.0
2003-04-01,,48110756.0
2003-05-01,,49605965.0
2003-06-01,,50689003.0
2003-07-01,,52470287.0
2003-08-01,,53193336.0
2003-09-01,,55148896.0
2003-10-01,,56392059.0
2003-11-01,,57777802.0
2003-12-01,,60198620.0
2004-01-01,105298109.0,
2004-01-02,103892628.0,
2004-01-03,104631102.0,
2004-01-04,104291484.0,
2004-01-05,107623375.0,
2004-01-06,103145291.0,
2004-01-07,103517349.0,
2004-01-08,106443041.0,
2004-01-09,109069263.0,
2004-01-10,113253532.0,
2004-01-11,117798676.0,
2004-01-12,114060397.0,
2004-02-01,,67858948.0
2004-03-01,,70085235.0
2004-04-01,,71399101.0
2004-05-01,,72022415.0
2004-06-01,,72395502.0
2004-07-01,,72645792.0
2004-08-01,,74308633.0
2004-09-01,,76132706.0
2004-10-01,,77896355.0
2004-11-01,,79762772.0
2004-12-01,,81737441.0
2005-01-01,,81537053.0
2005-01-02,116258722.0,
2005-01-03,119071025.0,
2005-01-04,122396333.0,
2005-01-05,120610088.0,
2005-01-06,120566150.0,
2005-01-07,120789639.0,
2005-01-08,127274085.0,
2005-01-09,130852762.0,
2005-01-10,130790101.0,
2005-01-11,132878265.0,
2005-01-12,147165358.23,
2005-02-01,,82730399.0
2005-03-01,,85446245.0
2005-04-01,,88053392.0
2005-05-01,,91477407.0
2005-06-01,,95858028.0
2005-07-01,,98370072.0
2005-08-01,,101819203.0
2005-09-01,,107189755.0
2005-10-01,,110379432.0
2005-11-01,,113430176.0
2005-12-01,,121272002.0
2006-01-01,,123374415.0
2006-01-02,148406514.9,
2006-01-03,150928494.89,
2006-01-04,151067149.37,
2006-01-05,159175602.76,
2006-01-06,156024840.77,
2006-01-07,151620497.81,
2006-01-08,150112522.77,
2006-01-09,149386696.09,
2006-01-10,146596122.08,
2006-01-11,149365368.73,
2006-01-12,147657129.65,
2006-02-01,,129612347.0
2006-03-01,,134688813.0
2006-04-01,,137202863.0
2006-05-01,,142843757.0
2006-06-01,,146650792.0
2006-07-01,,145154211.0
2006-08-01,,144661650.0
2006-09-01,,145759954.0
2006-10-01,,148134749.0
2006-11-01,,153200118.0
2006-12-01,,151535619.0
2007-01-01,,158941731.0
2007-01-02,153900242.98,
2007-01-03,156895856.12,
2007-01-04,152269314.59,
2007-01-05,150480588.16,
2007-01-06,153306029.43,
2007-01-07,152231308.2,
2007-01-08,158069303.7,
