Tarih,TP_ODEMGZS_SLOVAKYA
2015-01-01,1795.0
2015-02-01,2093.0
2015-03-01,3105.0
2015-04-01,2819.0
2015-05-01,4804.0
2015-06-01,20386.0
2015-07-01,41393.0
2015-08-01,38173.0
2015-09-01,26839.0
2015-10-01,5629.0
2015-11-01,3010.0
2015-12-01,1593.0
2016-01-01,1635.0
2016-02-01,2045.0
2016-03-01,1751.0
2016-04-01,1773.0
2016-05-01,2777.0
2016-06-01,6392.0
2016-07-01,13911.0
2016-08-01,12068.0
2016-09-01,11873.0
2016-10-01,4180.0
2016-11-01,2073.0
2016-12-01,1190.0
2017-01-01,1302.0
2017-02-01,1604.0
2017-03-01,1556.0
2017-04-01,1968.0
2017-05-01,2733.0
2017-06-01,10226.0
2017-07-01,24592.0
2017-08-01,24525.0
2017-09-01,20916.0
2017-10-01,4533.0
2017-11-01,2544.0
2017-12-01,1405.0
2018-01-01,1530.0
2018-02-01,1798.0
2018-03-01,1907.0
2018-04-01,2415.0
2018-05-01,3971.0
2018-06-01,19535.0
2018-07-01,41395.0
2018-08-01,40184.0
2018-09-01,31724.0
2018-10-01,7168.0
2018-11-01,3426.0
2018-12-01,1879.0
2019-01-01,1719.0
2019-02-01,2015.0
2019-03-01,2352.0
2019-04-01,3263.0
2019-05-01,5141.0
2019-06-01,27492.0
2019-07-01,57575.0
2019-08-01,53241.0
2019-09-01,38948.0
2019-10-01,9625.0
2019-11-01,3530.0
2019-12-01,2118.0
2020-01-01,1799.0
2020-02-01,1890.0
2020-03-01,1146.0
2020-04-01,52.0
2020-05-01,45.0
2020-06-01,118.0
2020-07-01,372.0
2020-08-01,770.0
2020-09-01,789.0
2020-10-01,712.0
2020-11-01,601.0
2020-12-01,462.0
2021-01-01,584.0
2021-02-01,438.0
2021-03-01,665.0
2021-04-01,542.0
2021-05-01,729.0
2021-06-01,1874.0
2021-07-01,7116.0
2021-08-01,11199.0
2021-09-01,8003.0
2021-10-01,3413.0
2021-11-01,2239.0
2021-12-01,1108.0
2022-01-01,1231.0
2022-02-01,1197.0
2022-03-01,1916.0
2022-04-01,3478.0
2022-05-01,6326.0
2022-06-01,25709.0
2022-07-01,54731.0
2022-08-01,52885.0
2022-09-01,34943.0
2022-10-01,8475.0
2022-11-01,3688.0
2022-12-01,1792.0
2023-01-01,1823.0
2023-02-01,1959.0
2023-03-01,2866.0
2023-04-01,4196.0
2023-05-01,7370.0
2023-06-01,32066.0
2023-07-01,61637.0
2023-08-01,60126.0
2023-09-01,44662.0
2023-10-01,11074.0
2023-11-01,4575.0
2023-12-01,2787.0
2024-01-01,2629.0
2024-02-01,3066.0
2024-03-01,4525.0
2024-04-01,5557.0
2024-05-01,9132.0
2024-06-01,41973.0
2024-07-01,72556.0
2024-08-01,65774.0
2024-09-01,46881.0
2024-10-01,14053.0
2024-11-01,5127.0
2024-12-01,2699.0
2025-01-01,2852.0
2025-02-01,3514.0
2025-03-01,4274.0
2025-04-01,5895.0
2025-05-01,11200.0
2025-06-01,42983.0
2025-07-01,66352.0
2025-08-01,60740.0
