Tarih,TP_ODEMGZS_AZERBAYCAN
2015-01-01,45439.0
2015-02-01,35286.0
2015-03-01,48072.0
2015-04-01,38356.0
2015-05-01,42280.0
2015-06-01,54396.0
2015-07-01,75613.0
2015-08-01,96820.0
2015-09-01,51455.0
2015-10-01,37571.0
2015-11-01,36729.0
2015-12-01,34261.0
2016-01-01,33527.0
2016-02-01,28315.0
2016-03-01,39845.0
2016-04-01,34588.0
2016-05-01,41841.0
2016-06-01,50319.0
2016-07-01,71289.0
2016-08-01,94858.0
2016-09-01,59636.0
2016-10-01,44898.0
2016-11-01,43871.0
2016-12-01,42657.0
2017-01-01,42265.0
2017-02-01,37211.0
2017-03-01,53118.0
2017-04-01,46177.0
2017-05-01,52403.0
2017-06-01,62771.0
2017-07-01,92790.0
2017-08-01,118699.0
2017-09-01,73205.0
2017-10-01,55729.0
2017-11-01,55262.0
2017-12-01,54930.0
2018-01-01,49892.0
2018-02-01,42838.0
2018-03-01,56916.0
2018-04-01,50974.0
2018-05-01,61554.0
2018-06-01,73573.0
2018-07-01,99108.0
2018-08-01,141940.0
2018-09-01,93381.0
2018-10-01,64727.0
2018-11-01,62126.0
2018-12-01,56801.0
2019-01-01,52932.0
2019-02-01,46626.0
2019-03-01,61301.0
2019-04-01,51643.0
2019-05-01,59015.0
2019-06-01,76019.0
2019-07-01,119486.0
2019-08-01,155576.0
2019-09-01,92704.0
2019-10-01,64106.0
2019-11-01,63119.0
2019-12-01,59015.0
2020-01-01,63136.0
2020-02-01,47514.0
2020-03-01,22352.0
2020-04-01,1435.0
2020-05-01,1625.0
2020-06-01,2360.0
2020-07-01,10343.0
2020-08-01,20094.0
2020-09-01,23051.0
2020-10-01,19142.0
2020-11-01,18618.0
2020-12-01,18717.0
2021-01-01,14366.0
2021-02-01,16678.0
2021-03-01,22222.0
2021-04-01,20354.0
2021-05-01,17989.0
2021-06-01,28077.0
2021-07-01,54374.0
2021-08-01,72984.0
2021-09-01,54683.0
2021-10-01,46711.0
2021-11-01,46430.0
2021-12-01,57096.0
2022-01-01,42638.0
2022-02-01,39366.0
2022-03-01,64010.0
2022-04-01,48447.0
2022-05-01,64618.0
2022-06-01,77174.0
2022-07-01,71814.0
2022-08-01,77455.0
2022-09-01,60587.0
2022-10-01,40843.0
2022-11-01,51148.0
2022-12-01,41256.0
2023-01-01,49147.0
2023-02-01,52818.0
2023-03-01,57337.0
2023-04-01,48478.0
2023-05-01,54855.0
2023-06-01,72393.0
2023-07-01,98040.0
2023-08-01,123758.0
2023-09-01,90454.0
2023-10-01,68352.0
2023-11-01,71703.0
2023-12-01,68027.0
2024-01-01,63979.0
2024-02-01,60363.0
2024-03-01,69675.0
2024-04-01,63590.0
2024-05-01,72387.0
2024-06-01,87190.0
2024-07-01,110408.0
2024-08-01,130182.0
2024-09-01,86038.0
2024-10-01,67580.0
2024-11-01,74280.0
2024-12-01,68274.0
2025-01-01,64531.0
2025-02-01,54592.0
2025-03-01,63808.0
2025-04-01,59061.0
2025-05-01,69119.0
2025-06-01,85718.0
2025-07-01,111688.0
2025-08-01,127883.0
