Tarih,TP_ODEMGZS_LUKSEMBURG
2015-06-01,1009.0
2015-07-01,1127.0
2015-08-01,2635.0
2015-09-01,2670.0
2015-10-01,845.0
2015-11-01,563.0
2015-12-01,210.0
2016-01-01,256.0
2016-02-01,226.0
2016-03-01,194.0
2016-04-01,394.0
2016-05-01,709.0
2016-06-01,361.0
2016-07-01,353.0
2016-08-01,877.0
2016-09-01,735.0
2016-10-01,359.0
2016-11-01,309.0
2016-12-01,149.0
2017-01-01,174.0
2017-02-01,130.0
2017-03-01,148.0
2017-04-01,374.0
2017-05-01,330.0
2017-06-01,603.0
2017-07-01,533.0
2017-08-01,895.0
2017-09-01,884.0
2017-10-01,290.0
2017-11-01,371.0
2017-12-01,220.0
2018-01-01,192.0
2018-02-01,183.0
2018-03-01,192.0
2018-04-01,630.0
2018-05-01,943.0
2018-06-01,454.0
2018-07-01,526.0
2018-08-01,1465.0
2018-09-01,1784.0
2018-10-01,548.0
2018-11-01,556.0
2018-12-01,208.0
2019-01-01,271.0
2019-02-01,258.0
2019-03-01,211.0
2019-04-01,958.0
2019-05-01,826.0
2019-06-01,1459.0
2019-07-01,951.0
2019-08-01,1954.0
2019-09-01,2395.0
2019-10-01,748.0
2019-11-01,660.0
2019-12-01,286.0
2020-01-01,323.0
2020-02-01,368.0
2020-03-01,139.0
2020-04-01,1.0
2020-05-01,1.0
2020-06-01,16.0
2020-07-01,104.0
2020-08-01,405.0
2020-09-01,469.0
2020-10-01,187.0
2020-11-01,245.0
2020-12-01,94.0
2021-01-01,113.0
2021-02-01,126.0
2021-03-01,98.0
2021-04-01,455.0
2021-05-01,1245.0
2021-06-01,463.0
2021-07-01,731.0
2021-08-01,1544.0
2021-09-01,1862.0
2021-10-01,682.0
2021-11-01,865.0
2021-12-01,286.0
2022-01-01,243.0
2022-02-01,330.0
2022-03-01,267.0
2022-04-01,1170.0
2022-05-01,2176.0
2022-06-01,953.0
2022-07-01,936.0
2022-08-01,2210.0
2022-09-01,2743.0
2022-10-01,937.0
2022-11-01,903.0
2022-12-01,290.0
2023-01-01,492.0
2023-02-01,420.0
2023-03-01,435.0
2023-04-01,1369.0
2023-05-01,1535.0
2023-06-01,2291.0
2023-07-01,1175.0
2023-08-01,2423.0
2023-09-01,2872.0
2023-10-01,1173.0
2023-11-01,1070.0
2023-12-01,428.0
2024-01-01,560.0
2024-02-01,526.0
2024-03-01,475.0
2024-04-01,1808.0
2024-05-01,1495.0
2024-06-01,2162.0
2024-07-01,1260.0
2024-08-01,2616.0
2024-09-01,3444.0
2024-10-01,1224.0
2024-11-01,1106.0
2024-12-01,581.0
2025-01-01,581.0
2025-02-01,626.0
2025-03-01,472.0
2025-04-01,1845.0
2025-05-01,2749.0
2025-06-01,1799.0
2025-07-01,1286.0
2025-08-01,3096.0
