Tarih,TP_ODEMGZS_LETONYA
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,1126.0
2008-02-01,1309.0
2008-03-01,2050.0
2008-04-01,2251.0
2008-05-01,6950.0
2008-06-01,7551.0
2008-07-01,7104.0
2008-08-01,8165.0
2008-09-01,9018.0
2008-10-01,8497.0
2008-11-01,2412.0
2008-12-01,1474.0
2009-01-01,1061.0
2009-02-01,1075.0
2009-03-01,1593.0
2009-04-01,2025.0
2009-05-01,4294.0
2009-06-01,5422.0
2009-07-01,5220.0
2009-08-01,5600.0
2009-09-01,6242.0
2009-10-01,5897.0
2009-11-01,1764.0
2009-12-01,1352.0
2010-01-01,878.0
2010-02-01,956.0
2010-03-01,1193.0
2010-04-01,1254.0
2010-05-01,4550.0
2010-06-01,6337.0
2010-07-01,5123.0
2010-08-01,4569.0
2010-09-01,5819.0
2010-10-01,6140.0
2010-11-01,1404.0
2010-12-01,884.0
2011-01-01,840.0
2011-02-01,837.0
2011-03-01,1407.0
2011-04-01,2556.0
2011-05-01,6147.0
2011-06-01,5716.0
2011-07-01,5815.0
2011-08-01,5340.0
2011-09-01,6737.0
2011-10-01,6995.0
2011-11-01,1332.0
2011-12-01,966.0
2012-01-01,898.0
2012-02-01,1018.0
2012-03-01,1331.0
2012-04-01,2223.0
2012-05-01,5842.0
2012-06-01,5915.0
2012-07-01,4650.0
2012-08-01,4634.0
2012-09-01,7519.0
2012-10-01,7587.0
2012-11-01,2501.0
2012-12-01,1311.0
2013-01-01,1155.0
2013-02-01,1180.0
2013-03-01,1995.0
2013-04-01,3594.0
2013-05-01,7755.0
2013-06-01,7516.0
2013-07-01,5136.0
2013-08-01,5774.0
2013-09-01,7724.0
2013-10-01,9229.0
2013-11-01,2634.0
2013-12-01,1321.0
2014-01-01,1223.0
2014-02-01,1386.0
2014-03-01,2296.0
2014-04-01,3930.0
2014-05-01,8513.0
2014-06-01,7367.0
2014-07-01,5429.0
2014-08-01,5618.0
2014-09-01,7940.0
2014-10-01,10144.0
2014-11-01,3411.0
2014-12-01,1521.0
2015-01-01,1171.0
