Tarih,TP_ODEMGZS_LETONYA
2015-02-01,1321.0
2015-03-01,2149.0
2015-04-01,3053.0
2015-05-01,8568.0
2015-06-01,8102.0
2015-07-01,5455.0
2015-08-01,6926.0
2015-09-01,9212.0
2015-10-01,10170.0
2015-11-01,2865.0
2015-12-01,1412.0
2016-01-01,1164.0
2016-02-01,1098.0
2016-03-01,1426.0
2016-04-01,2020.0
2016-05-01,4971.0
2016-06-01,4458.0
2016-07-01,3467.0
2016-08-01,3336.0
2016-09-01,4220.0
2016-10-01,6276.0
2016-11-01,1394.0
2016-12-01,1078.0
2017-01-01,926.0
2017-02-01,843.0
2017-03-01,1089.0
2017-04-01,1877.0
2017-05-01,5546.0
2017-06-01,4860.0
2017-07-01,4934.0
2017-08-01,5102.0
2017-09-01,7897.0
2017-10-01,10153.0
2017-11-01,1897.0
2017-12-01,1273.0
2018-01-01,1215.0
2018-02-01,1128.0
2018-03-01,1689.0
2018-04-01,3183.0
2018-05-01,9949.0
2018-06-01,7841.0
2018-07-01,7062.0
2018-08-01,6979.0
2018-09-01,9942.0
2018-10-01,13115.0
2018-11-01,2148.0
2018-12-01,1443.0
2019-01-01,13308.0
2019-02-01,11102.0
2019-03-01,17807.0
2019-04-01,19485.0
2019-05-01,15920.0
2019-06-01,19855.0
2019-07-01,24455.0
2019-08-01,27157.0
2019-09-01,25408.0
2019-10-01,22310.0
2019-11-01,13040.0
2019-12-01,12511.0
2020-01-01,16429.0
2020-02-01,11370.0
2020-03-01,8318.0
2020-04-01,310.0
2020-05-01,1494.0
2020-06-01,2270.0
2020-07-01,4832.0
2020-08-01,13797.0
2020-09-01,20414.0
2020-10-01,21981.0
2020-11-01,9919.0
2020-12-01,7000.0
2021-01-01,4945.0
2021-02-01,5665.0
2021-03-01,8037.0
2021-04-01,6855.0
2021-05-01,6572.0
2021-06-01,17467.0
2021-07-01,23291.0
2021-08-01,29253.0
2021-09-01,23465.0
2021-10-01,25109.0
2021-11-01,16053.0
2021-12-01,12433.0
2022-01-01,14275.0
2022-02-01,11128.0
2022-03-01,16145.0
2022-04-01,14298.0
2022-05-01,20854.0
2022-06-01,27659.0
2022-07-01,30215.0
2022-08-01,37742.0
2022-09-01,35267.0
2022-10-01,29870.0
2022-11-01,15176.0
2022-12-01,13118.0
2023-01-01,2226.0
2023-02-01,2404.0
2023-03-01,2916.0
2023-04-01,7894.0
2023-05-01,18465.0
2023-06-01,16008.0
2023-07-01,11337.0
2023-08-01,11967.0
2023-09-01,15207.0
2023-10-01,22127.0
2023-11-01,4652.0
2023-12-01,2455.0
2024-01-01,2600.0
2024-02-01,2661.0
2024-03-01,3743.0
2024-04-01,9075.0
2024-05-01,16577.0
2024-06-01,16399.0
2024-07-01,11632.0
2024-08-01,12160.0
2024-09-01,16386.0
2024-10-01,24887.0
2024-11-01,5515.0
2024-12-01,3003.0
2025-01-01,2883.0
2025-02-01,2836.0
2025-03-01,3779.0
2025-04-01,9000.0
2025-05-01,20311.0
2025-06-01,15091.0
2025-07-01,11773.0
2025-08-01,12514.0
