Tarih,TP_ODEMGZS_BDTTOPLAM
2014-09-01,1157215.0
2014-10-01,702660.0
2014-11-01,353626.0
2014-12-01,306568.0
2015-01-01,279626.0
2015-02-01,254803.0
2015-03-01,303664.0
2015-04-01,338016.0
2015-05-01,787544.0
2015-06-01,1099006.0
2015-07-01,1251074.0
2015-08-01,1316141.0
2015-09-01,1065336.0
2015-10-01,723109.0
2015-11-01,380871.0
2015-12-01,291290.0
2016-01-01,239288.0
2016-02-01,265433.0
2016-03-01,304875.0
2016-04-01,331268.0
2016-05-01,452024.0
2016-06-01,533616.0
2016-07-01,619884.0
2016-08-01,720280.0
2016-09-01,714813.0
2016-10-01,670231.0
2016-11-01,390072.0
2016-12-01,336385.0
2017-01-01,308465.0
2017-02-01,290940.0
2017-03-01,374677.0
2017-04-01,426894.0
2017-05-01,1001699.0
2017-06-01,1369528.0
2017-07-01,1604824.0
2017-08-01,1664907.0
2017-09-01,1446106.0
2017-10-01,1136219.0
2017-11-01,468844.0
2017-12-01,415278.0
2018-01-01,371784.0
2018-02-01,352211.0
2018-03-01,418766.0
2018-04-01,509969.0
2018-05-01,1251818.0
2018-06-01,1656704.0
2018-07-01,1690514.0
2018-08-01,1671048.0
2018-09-01,1590190.0
2018-10-01,1281550.0
2018-11-01,549263.0
2018-12-01,402848.0
2019-01-01,387879.0
2019-02-01,356871.0
2019-03-01,450047.0
2019-04-01,559830.0
2019-05-01,1388953.0
2019-06-01,1709196.0
2019-07-01,1851133.0
2019-08-01,1924894.0
2019-09-01,1799469.0
2019-10-01,1538235.0
2019-11-01,671029.0
2019-12-01,469075.0
2020-01-01,467946.0
2020-02-01,393983.0
2020-03-01,250377.0
2020-04-01,11841.0
2020-05-01,13455.0
2020-06-01,26765.0
2020-07-01,159487.0
2020-08-01,634903.0
2020-09-01,983222.0
2020-10-01,911212.0
2020-11-01,323097.0
2020-12-01,176572.0
2021-01-01,196792.0
2021-02-01,167553.0
2021-03-01,308985.0
2021-04-01,346819.0
2021-05-01,287510.0
2021-06-01,543310.0
2021-07-01,1333156.0
2021-08-01,1549389.0
2021-09-01,1491691.0
2021-10-01,1516465.0
2021-11-01,573366.0
2021-12-01,342128.0
2022-01-01,366117.0
2022-02-01,305782.0
2022-03-01,358312.0
2022-04-01,372488.0
2022-05-01,672121.0
2022-06-01,1074718.0
2022-07-01,1298875.0
2022-08-01,1432388.0
2022-09-01,1361406.0
2022-10-01,1225833.0
2022-11-01,807015.0
2022-12-01,611608.0
2023-01-01,626605.0
2023-02-01,549007.0
2023-03-01,623074.0
2023-04-01,654884.0
2023-05-01,1026564.0
2023-06-01,1380912.0
2023-07-01,1568957.0
2023-08-01,1643965.0
2023-09-01,1421056.0
2023-10-01,1275983.0
2023-11-01,725881.0
2023-12-01,593780.0
2024-01-01,574720.0
2024-02-01,520354.0
2024-03-01,610042.0
2024-04-01,672567.0
2024-05-01,1161639.0
2024-06-01,1503123.0
2024-07-01,1672010.0
2024-08-01,1708377.0
2024-09-01,1495632.0
2024-10-01,1362493.0
2024-11-01,761741.0
2024-12-01,543884.0
2025-01-01,534283.0
2025-02-01,436997.0
2025-03-01,549283.0
2025-04-01,628917.0
2025-05-01,1158404.0
2025-06-01,1516657.0
2025-07-01,1690475.0
2025-08-01,1753090.0
