Tarih,TP_ODEMGZS_ERMENISTAN
2015-01-01,2099.0
2015-02-01,2570.0
2015-03-01,2965.0
2015-04-01,2575.0
2015-05-01,3720.0
2015-06-01,4043.0
2015-07-01,6585.0
2015-08-01,8517.0
2015-09-01,4428.0
2015-10-01,4070.0
2015-11-01,3321.0
2015-12-01,3089.0
2016-01-01,1903.0
2016-02-01,2589.0
2016-03-01,2572.0
2016-04-01,2272.0
2016-05-01,2881.0
2016-06-01,3428.0
2016-07-01,3370.0
2016-08-01,5156.0
2016-09-01,3767.0
2016-10-01,3927.0
2016-11-01,3655.0
2016-12-01,2954.0
2017-01-01,1785.0
2017-02-01,2479.0
2017-03-01,3225.0
2017-04-01,2801.0
2017-05-01,4113.0
2017-06-01,3804.0
2017-07-01,5761.0
2017-08-01,7319.0
2017-09-01,4656.0
2017-10-01,4507.0
2017-11-01,4137.0
2017-12-01,3511.0
2018-01-01,2654.0
2018-02-01,3163.0
2018-03-01,3453.0
2018-04-01,3076.0
2018-05-01,3887.0
2018-06-01,3784.0
2018-07-01,5629.0
2018-08-01,7928.0
2018-09-01,5634.0
2018-10-01,5076.0
2018-11-01,4156.0
2018-12-01,3761.0
2019-01-01,2492.0
2019-02-01,3025.0
2019-03-01,3825.0
2019-04-01,3575.0
2019-05-01,5442.0
2019-06-01,4662.0
2019-07-01,7845.0
2019-08-01,9921.0
2019-09-01,7357.0
2019-10-01,7190.0
2019-11-01,6564.0
2019-12-01,5322.0
2020-01-01,3200.0
2020-02-01,3171.0
2020-03-01,1254.0
2020-04-01,120.0
2020-05-01,224.0
2020-06-01,77.0
2020-07-01,297.0
2020-08-01,400.0
2020-09-01,628.0
2020-10-01,476.0
2020-11-01,277.0
2020-12-01,452.0
2021-01-01,255.0
2021-02-01,460.0
2021-03-01,499.0
2021-04-01,632.0
2021-05-01,447.0
2021-06-01,694.0
2021-07-01,1016.0
2021-08-01,1342.0
2021-09-01,1221.0
2021-10-01,1233.0
2021-11-01,1154.0
2021-12-01,1351.0
2022-01-01,946.0
2022-02-01,1783.0
2022-03-01,2169.0
2022-04-01,2510.0
2022-05-01,2885.0
2022-06-01,4038.0
2022-07-01,4258.0
2022-08-01,5558.0
2022-09-01,3632.0
2022-10-01,2998.0
2022-11-01,3063.0
2022-12-01,2660.0
2023-01-01,1906.0
2023-02-01,2012.0
2023-03-01,2325.0
2023-04-01,2285.0
2023-05-01,2371.0
2023-06-01,2758.0
2023-07-01,3936.0
2023-08-01,4680.0
2023-09-01,3304.0
2023-10-01,2526.0
2023-11-01,2172.0
2023-12-01,2141.0
2024-01-01,1883.0
2024-02-01,2061.0
2024-03-01,2463.0
2024-04-01,2147.0
2024-05-01,2596.0
2024-06-01,2377.0
2024-07-01,3493.0
2024-08-01,4282.0
2024-09-01,2960.0
2024-10-01,2860.0
2024-11-01,2537.0
2024-12-01,2091.0
2025-01-01,1791.0
2025-02-01,1678.0
2025-03-01,1813.0
2025-04-01,2211.0
2025-05-01,2637.0
2025-06-01,2540.0
2025-07-01,3086.0
2025-08-01,3535.0
