Tarih,TP_ODEMGZS_SINGAPUR
2015-02-01,1320.0
2015-03-01,1487.0
2015-04-01,2081.0
2015-05-01,2871.0
2015-06-01,3551.0
2015-07-01,1683.0
2015-08-01,1835.0
2015-09-01,2025.0
2015-10-01,2452.0
2015-11-01,1898.0
2015-12-01,4087.0
2016-01-01,1493.0
2016-02-01,970.0
2016-03-01,1534.0
2016-04-01,1548.0
2016-05-01,1633.0
2016-06-01,1721.0
2016-07-01,1136.0
2016-08-01,834.0
2016-09-01,1029.0
2016-10-01,978.0
2016-11-01,928.0
2016-12-01,2245.0
2017-01-01,917.0
2017-02-01,586.0
2017-03-01,944.0
2017-04-01,1085.0
2017-05-01,1314.0
2017-06-01,1229.0
2017-07-01,1161.0
2017-08-01,1043.0
2017-09-01,1335.0
2017-10-01,1652.0
2017-11-01,1483.0
2017-12-01,4352.0
2018-01-01,1339.0
2018-02-01,1086.0
2018-03-01,1890.0
2018-04-01,2113.0
2018-05-01,1864.0
2018-06-01,2376.0
2018-07-01,1376.0
2018-08-01,1347.0
2018-09-01,2101.0
2018-10-01,3021.0
2018-11-01,3211.0
2018-12-01,6470.0
2019-01-01,1636.0
2019-02-01,1630.0
2019-03-01,2447.0
2019-04-01,2698.0
2019-05-01,2657.0
2019-06-01,3282.0
2019-07-01,1625.0
2019-08-01,1720.0
2019-09-01,2539.0
2019-10-01,3520.0
2019-11-01,3399.0
2019-12-01,7562.0
2020-01-01,2065.0
2020-02-01,1475.0
2020-03-01,1253.0
2020-04-01,4.0
2020-05-01,11.0
2020-06-01,25.0
2020-07-01,72.0
2020-08-01,82.0
2020-09-01,114.0
2020-10-01,115.0
2020-11-01,136.0
2020-12-01,167.0
2021-01-01,89.0
2021-02-01,69.0
2021-03-01,87.0
2021-04-01,121.0
2021-05-01,128.0
2021-06-01,136.0
2021-07-01,225.0
2021-08-01,212.0
2021-09-01,252.0
2021-10-01,286.0
2021-11-01,413.0
2021-12-01,660.0
2022-01-01,643.0
2022-02-01,583.0
2022-03-01,1159.0
2022-04-01,1136.0
2022-05-01,2206.0
2022-06-01,3086.0
2022-07-01,1483.0
2022-08-01,1292.0
2022-09-01,2476.0
2022-10-01,3716.0
2022-11-01,4108.0
2022-12-01,8276.0
2023-01-01,2608.0
2023-02-01,1610.0
2023-03-01,2625.0
2023-04-01,2900.0
2023-05-01,2957.0
2023-06-01,3594.0
2023-07-01,1655.0
2023-08-01,1368.0
2023-09-01,3648.0
2023-10-01,4135.0
2023-11-01,4251.0
2023-12-01,7685.0
2024-01-01,2061.0
2024-02-01,1778.0
2024-03-01,2094.0
2024-04-01,2879.0
2024-05-01,3774.0
2024-06-01,4095.0
2024-07-01,1930.0
2024-08-01,1895.0
2024-09-01,2826.0
2024-10-01,3656.0
2024-11-01,3869.0
2024-12-01,8167.0
2025-01-01,2468.0
2025-02-01,2065.0
2025-03-01,1896.0
2025-04-01,2826.0
2025-05-01,4019.0
2025-06-01,4612.0
2025-07-01,1590.0
2025-08-01,1611.0
