Tarih,TP_ODEMGZS_KARADAG
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,229.0
2009-02-01,324.0
2009-03-01,328.0
2009-04-01,495.0
2009-05-01,2849.0
2009-06-01,605.0
2009-07-01,4362.0
2009-08-01,606.0
2009-09-01,646.0
2009-10-01,816.0
2009-11-01,554.0
2009-12-01,556.0
2010-01-01,844.0
2010-02-01,788.0
2010-03-01,511.0
2010-04-01,796.0
2010-05-01,845.0
2010-06-01,983.0
2010-07-01,987.0
2010-08-01,1490.0
2010-09-01,1211.0
2010-10-01,1147.0
2010-11-01,859.0
2010-12-01,1045.0
2011-01-01,800.0
2011-02-01,779.0
2011-03-01,974.0
2011-04-01,1179.0
2011-05-01,1314.0
2011-06-01,1355.0
2011-07-01,1350.0
2011-08-01,878.0
2011-09-01,1240.0
2011-10-01,1354.0
2011-11-01,1059.0
2011-12-01,1022.0
2012-01-01,1085.0
2012-02-01,790.0
2012-03-01,1133.0
2012-04-01,1462.0
2012-05-01,1904.0
2012-06-01,1377.0
2012-07-01,1340.0
2012-08-01,1380.0
2012-09-01,1720.0
2012-10-01,1644.0
2012-11-01,1475.0
2012-12-01,1196.0
2013-01-01,1637.0
2013-02-01,1082.0
2013-03-01,1376.0
2013-04-01,1929.0
2013-05-01,2003.0
2013-06-01,1595.0
2013-07-01,1694.0
2013-08-01,1547.0
2013-09-01,1426.0
2013-10-01,1518.0
2013-11-01,1603.0
2013-12-01,1429.0
2014-01-01,1677.0
2014-02-01,1302.0
2014-03-01,1735.0
2014-04-01,1978.0
2014-05-01,1808.0
2014-06-01,1922.0
2014-07-01,1618.0
2014-08-01,1895.0
2014-09-01,1881.0
2014-10-01,1729.0
2014-11-01,1712.0
2014-12-01,1292.0
2015-01-01,1892.0
2015-02-01,1242.0
2015-03-01,1661.0
