Tarih,TP_ODEMGZS_KARADAG
2015-04-01,1831.0
2015-05-01,1821.0
2015-06-01,1702.0
2015-07-01,1663.0
2015-08-01,1936.0
2015-09-01,1636.0
2015-10-01,1488.0
2015-11-01,1831.0
2015-12-01,1373.0
2016-01-01,1558.0
2016-02-01,1240.0
2016-03-01,1476.0
2016-04-01,1460.0
2016-05-01,1683.0
2016-06-01,1612.0
2016-07-01,1156.0
2016-08-01,1341.0
2016-09-01,1273.0
2016-10-01,1552.0
2016-11-01,1334.0
2016-12-01,1230.0
2017-01-01,1190.0
2017-02-01,1008.0
2017-03-01,1463.0
2017-04-01,1538.0
2017-05-01,1742.0
2017-06-01,1551.0
2017-07-01,1863.0
2017-08-01,1805.0
2017-09-01,1594.0
2017-10-01,2128.0
2017-11-01,1995.0
2017-12-01,1625.0
2018-01-01,1669.0
2018-02-01,1482.0
2018-03-01,1868.0
2018-04-01,2161.0
2018-05-01,2469.0
2018-06-01,1829.0
2018-07-01,1862.0
2018-08-01,1959.0
2018-09-01,2392.0
2018-10-01,2685.0
2018-11-01,2019.0
2018-12-01,1728.0
2019-01-01,2133.0
2019-02-01,1600.0
2019-03-01,2208.0
2019-04-01,2506.0
2019-05-01,3017.0
2019-06-01,2159.0
2019-07-01,2377.0
2019-08-01,2264.0
2019-09-01,2300.0
2019-10-01,2754.0
2019-11-01,2487.0
2019-12-01,1780.0
2020-01-01,2555.0
2020-02-01,1741.0
2020-03-01,1177.0
2020-04-01,40.0
2020-05-01,122.0
2020-06-01,367.0
2020-07-01,544.0
2020-08-01,946.0
2020-09-01,1102.0
2020-10-01,1279.0
2020-11-01,1150.0
2020-12-01,1068.0
2021-01-01,737.0
2021-02-01,1049.0
2021-03-01,1304.0
2021-04-01,1338.0
2021-05-01,1328.0
2021-06-01,1666.0
2021-07-01,1780.0
2021-08-01,2109.0
2021-09-01,2123.0
2021-10-01,2495.0
2021-11-01,2521.0
2021-12-01,1765.0
2022-01-01,1875.0
2022-02-01,1786.0
2022-03-01,2288.0
2022-04-01,2391.0
2022-05-01,2896.0
2022-06-01,2618.0
2022-07-01,2190.0
2022-08-01,2505.0
2022-09-01,2914.0
2022-10-01,3215.0
2022-11-01,2758.0
2022-12-01,1939.0
2023-01-01,2692.0
2023-02-01,1718.0
2023-03-01,2161.0
2023-04-01,2025.0
2023-05-01,2805.0
2023-06-01,2448.0
2023-07-01,2194.0
2023-08-01,2431.0
2023-09-01,2694.0
2023-10-01,3592.0
2023-11-01,3011.0
2023-12-01,1892.0
2024-01-01,2953.0
2024-02-01,2361.0
2024-03-01,2697.0
2024-04-01,2490.0
2024-05-01,3642.0
2024-06-01,2782.0
2024-07-01,2506.0
2024-08-01,2465.0
2024-09-01,2847.0
2024-10-01,3962.0
2024-11-01,3517.0
2024-12-01,2102.0
2025-01-01,2988.0
2025-02-01,2267.0
2025-03-01,2599.0
2025-04-01,2274.0
2025-05-01,3416.0
2025-06-01,2260.0
2025-07-01,2320.0
2025-08-01,2351.0
